scene_id,sensor,time_utc,nirmap_mean0,nirmap_median0,nirmap_std0,swirmap1_mean0,swirmap1_median0,swirmap1_std0,swirmap2_mean0,swirmap2_median0,swirmap2_std0,hotmap_mean0,hotmap_median0,hotmap_std0,whitenessmap_mean0,whitenessmap_median0,whitenessmap_std0,ndsimap1_mean0,ndsimap1_median0,ndsimap1_std0,ndsimap2_mean0,ndsimap2_median0,ndsimap2_std0,ndvimap_mean0,ndvimap_median0,ndvimap_std0,ndwimap_mean0,ndwimap_median0,ndwimap_std0,mndwimap1_mean0,mndwimap1_median0,mndwimap1_std0,mndwimap2_mean0,mndwimap2_median0,mndwimap2_std0,waterratiomap1_mean0,waterratiomap1_median0,waterratiomap1_std0,waterratiomap2_mean0,waterratiomap2_median0,waterratiomap2_std0,brtestmap1_mean0,brtestmap1_median0,brtestmap1_std0,brtestmap2_mean0,brtestmap2_median0,brtestmap2_std0,btmap1_mean0,btmap1_median0,btmap1_std0,btmap2_mean0,btmap2_median0,btmap2_std0,raamap_mean0,raamap_median0,raamap_std0,vzamap_mean0,vzamap_median0,vzamap_std0,szamap_mean0,szamap_median0,szamap_std0
LC08_L1TP_195027_20221121_20221129_02_T1,LANDSAT_8,20221121,0.06672190874814987,0.06680262088775635,0.0014902007533237338,0.035378746688365936,0.03545946255326271,0.0007074271561577916,0.030051756650209427,0.030159370973706245,0.000643560488242656,0.09395549446344376,0.0939084142446518,0.0007140382076613605,0.7259446382522583,0.7251303791999817,0.013642421923577785,0.4187775254249573,0.417288601398468,0.005721117369830608,0.4837091863155365,0.4833066463470459,0.0053367759101092815,0.0027632885612547398,0.0032653743401169777,0.006468948442488909,0.12831935286521912,0.12638694047927856,0.009099877439439297,0.4187775254249573,0.417288601398468,0.005721117369830608,0.4837091863155365,0.4833066463470459,0.0053367759101092815,1.4958481788635254,1.4895150661468506,0.01853879913687706,1.5782231092453003,1.5760266780853271,0.020457196980714798,0.5303484201431274,0.5293862819671631,0.009300824254751205,0.4504765570163727,0.4477732181549072,0.007685191463679075,3.3395583629608154,3.343658447265625,0.05469211935997009,2.2521376609802246,2.2700653076171875,0.06040439009666443,109.80999755859375,109.80999755859375,0.008368389680981636,5.215000152587891,5.215000152587891,0.004999876022338867,68.18000793457031,68.18000030517578,7.62939453125e-06
LC08_L1GT_194027_20221130_20221206_02_T2,LANDSAT_8,20221130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_195027_20221207_20221213_02_T1,LANDSAT_8,20221207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_194027_20230101_20230110_02_T1,LANDSAT_8,20230101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_195027_20230124_20230207_02_T2,LANDSAT_8,20230124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_195027_20230209_20230217_02_T1,LANDSAT_8,20230209,0.01990503817796707,0.0199124813079834,0.00031545606907457113,0.003433499950915575,0.003442810382694006,0.000221760812564753,0.0016953437589108944,0.001721405191347003,0.00024159748863894492,0.09054508060216904,0.09058324247598648,0.0003104866191279143,1.0916693210601807,1.0910677909851074,0.00716279586777091,0.8986331820487976,0.8981419205665588,0.006256777327507734,0.948650062084198,0.9478873610496521,0.007118850480765104,-0.32894161343574524,-0.329143762588501,0.006757330149412155,0.5272378325462341,0.5265488624572754,0.005541680380702019,0.8986331820487976,0.8981419205665588,0.006256777327507734,0.948650062084198,0.9478873610496521,0.007118850480765104,4.445072174072266,4.440003395080566,0.06882946193218231,4.803149223327637,4.805197238922119,0.08413392305374146,0.17254331707954407,0.17605596780776978,0.011573485098779202,0.0851818397641182,0.0864485502243042,0.012130608782172203,1.42242431640625,1.42279052734375,0.032248605042696,1.512972354888916,1.491546630859375,0.06235244870185852,118.9087905883789,118.91000366210938,0.007654569111764431,5.514400482177734,5.510000228881836,0.004963746294379234,64.54000091552734,64.54000091552734,0.0
LC08_L1TP_194027_20230218_20230223_02_T1,LANDSAT_8,20230218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_195027_20230313_20230321_02_T1,LANDSAT_8,20230313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_194027_20230322_20230325_02_T1,LANDSAT_8,20230322,0.016583355143666267,0.016594519838690758,0.0003765188448596746,0.004975250456482172,0.005024879705160856,0.0004151281318627298,0.0031117000617086887,0.0031327891629189253,0.0002637382713146508,0.0713583305478096,0.07130994647741318,0.0002144656318705529,1.0807156562805176,1.081141471862793,0.007658058777451515,0.826382577419281,0.825619101524353,0.012678688392043114,0.8877406120300293,0.886898398399353,0.008658632636070251,-0.2744555175304413,-0.2751213610172272,0.009085509926080704,0.5185189247131348,0.5196036100387573,0.0077316188253462315,0.826382577419281,0.825619101524353,0.012678688392043114,0.8877406120300293,0.886898398399353,0.008658632636070251,3.778902053833008,3.7886316776275635,0.08504404127597809,4.136514663696289,4.142180442810059,0.09681335836648941,0.30012574791908264,0.3039398491382599,0.0249998290091753,0.1876227706670761,0.18595784902572632,0.015075800009071827,7.754817008972168,7.733001708984375,0.09136273711919785,7.401613712310791,7.385772705078125,0.10233388841152191,51.28001022338867,51.280006408691406,3.814697265625e-06,4.894800186157227,4.889999866485596,0.004996112547814846,49.84999465942383,49.849998474121094,3.814697265625e-06
LC08_L1TP_195027_20230414_20230421_02_T1,LANDSAT_8,20230414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_194027_20230509_20230517_02_T1,LANDSAT_8,20230509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_194027_20230525_20230603_02_T1,LANDSAT_8,20230525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_195027_20230601_20230607_02_T1,LANDSAT_8,20230601,0.032931797206401825,0.03307658061385155,0.0006135695148259401,0.011052536778151989,0.011313874274492264,0.0005707672680728137,0.007392942439764738,0.007398407906293869,0.0005216275458224118,0.0723942294716835,0.0724247470498085,0.0002293389552505687,0.8538008332252502,0.8529101610183716,0.0086335688829422,0.6976734399795532,0.6921660304069519,0.012067029252648354,0.7871658802032471,0.7863950133323669,0.012516457587480545,-0.0923808366060257,-0.091468945145607,0.0046834927052259445,0.3064700961112976,0.304951012134552,0.006115097552537918,0.6976734399795532,0.6921660304069519,0.012067029252648354,0.7871658802032471,0.7863950133323669,0.012516457587480545,2.3124704360961914,2.297368049621582,0.045213695615530014,2.5223793983459473,2.5042219161987305,0.04986407235264778,0.3354341387748718,0.33945557475090027,0.011964967474341393,0.22432319819927216,0.22624117136001587,0.012703982181847095,16.818622589111328,16.824462890625,0.04014750197529793,15.596714973449707,15.604736328125,0.030081823468208313,130.0107879638672,130.00999450683594,0.00844417791813612,5.043600082397461,5.039999961853027,0.004800109658390284,28.53000259399414,28.530000686645508,1.9073486328125e-06
LC08_L1TP_194027_20230610_20230614_02_T1,LANDSAT_8,20230610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_195027_20230617_20230623_02_T1,LANDSAT_8,20230617,0.03337596356868744,0.03198201581835747,0.003271837718784809,0.008449389599263668,0.007425602525472641,0.0027960941661149263,0.004978989250957966,0.003927215468138456,0.0024073284585028887,0.08391162753105164,0.0843675434589386,0.0017161949072033167,0.8813847303390503,0.8957312107086182,0.03106299601495266,0.8068627119064331,0.8241587281227112,0.04654870182275772,0.8825231194496155,0.9036812782287598,0.04562797397375107,-0.11403443664312363,-0.11701782792806625,0.016397591680288315,0.4000210464000702,0.40627720952033997,0.025310833007097244,0.8068627119064331,0.8241587281227112,0.04654870182275772,0.8825231194496155,0.9036812782287598,0.04562797397375107,2.8907806873321533,2.987201690673828,0.2318941056728363,3.1541407108306885,3.241044521331787,0.2594855725765228,0.24826186895370483,0.22793041169643402,0.051161184906959534,0.14438357949256897,0.12590433657169342,0.0501444973051548,19.85694694519043,19.840118408203125,0.03805195912718773,19.155603408813477,19.154083251953125,0.035717856138944626,132.6103973388672,132.61000061035156,0.0066206795163452625,5.092800140380859,5.090000152587891,0.004489877726882696,27.610000610351562,27.610000610351562,0.0
LC08_L1TP_194027_20230626_20230701_02_T1,LANDSAT_8,20230626,0.04166083782911301,0.04147971421480179,0.0008028487209230661,0.010970848612487316,0.010876193642616272,0.0008812104351818562,0.006149825640022755,0.006075192708522081,0.0006381883285939693,0.09340742230415344,0.09342607855796814,0.0003407389740459621,0.8754966259002686,0.8771709203720093,0.0076559800654649734,0.7829551100730896,0.7844769954681396,0.0143993915989995,0.8722571730613708,0.873818576335907,0.011667689308524132,-0.06895000487565994,-0.06821709871292114,0.0052911448292434216,0.3673529028892517,0.3676164150238037,0.006244802847504616,0.7829551100730896,0.7844769954681396,0.0143993915989995,0.8722571730613708,0.873818576335907,0.011667689308524132,2.6211206912994385,2.6228222846984863,0.060200661420822144,2.8852176666259766,2.8879806995391846,0.06262796372175217,0.2630910277366638,0.2599238157272339,0.01693671941757202,0.14740948379039764,0.14518748223781586,0.012700799852609634,19.92702865600586,19.9346923828125,0.030063079670071602,18.624441146850586,18.617095947265625,0.04015849158167839,38.269996643066406,38.269996643066406,0.0,5.146399974822998,5.150000095367432,0.004800109658390284,28.479999542236328,28.479999542236328,0.0
LC08_L1TP_195027_20230703_20230711_02_T1,LANDSAT_8,20230703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_194027_20230712_20230718_02_T1,LANDSAT_8,20230712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_195027_20230719_20230802_02_T1,LANDSAT_8,20230719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_194027_20230728_20230805_02_T1,LANDSAT_8,20230728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_194027_20230813_20230819_02_T1,LANDSAT_8,20230813,0.04900222271680832,0.04910053312778473,0.0009134789579547942,0.023085089400410652,0.023082716390490532,0.00038875857717357576,0.015512846410274506,0.015546011738479137,0.0003210559661965817,0.08071669191122055,0.08070246875286102,0.0003972066333517432,0.796061635017395,0.7930842638015747,0.007864395156502724,0.5304373502731323,0.5295295715332031,0.005930124316364527,0.658145546913147,0.6577070951461792,0.005035459529608488,0.04508756473660469,0.0439499169588089,0.00513204513117671,0.21122603118419647,0.2108217030763626,0.007195897866040468,0.5304373502731323,0.5295295715332031,0.005930124316364527,0.658145546913147,0.6577070951461792,0.005035459529608488,1.6649585962295532,1.6655220985412598,0.016883842647075653,1.8604192733764648,1.858737826347351,0.018972083926200867,0.4712258279323578,0.4750777781009674,0.010051483288407326,0.31664490699768066,0.31738030910491943,0.007322989404201508,14.902108192443848,14.8963623046875,0.12251207232475281,12.863317489624023,12.852752685546875,0.13222017884254456,44.628570556640625,44.62999725341797,0.0034973490983247757,5.12761926651001,5.130000114440918,0.004259274806827307,36.47999954223633,36.47999954223633,0.0
LC08_L1TP_195027_20230820_20230826_02_T1,LANDSAT_8,20230820,0.020072121173143387,0.02008833736181259,0.0002403081307420507,0.005643981508910656,0.0056237149983644485,0.0001655717787798494,0.0031472512055188417,0.003141168737784028,0.00011447834549471736,0.07403958588838577,0.07402032613754272,0.0002262385532958433,0.9955232739448547,0.9947162866592407,0.007149567827582359,0.833810031414032,0.8337703347206116,0.004396789241582155,0.9037909507751465,0.9040620923042297,0.003282317193225026,-0.20578834414482117,-0.2062218189239502,0.00511285662651062,0.5125049352645874,0.5121351480484009,0.0036844683345407248,0.833810031414032,0.8337703347206116,0.004396789241582155,0.9037909507751465,0.9040620923042297,0.003282317193225026,3.6069607734680176,3.6084814071655273,0.035634998232126236,3.9948437213897705,4.007635593414307,0.03993028774857521,0.2812133729457855,0.280769020318985,0.00849975273013115,0.15680184960365295,0.15569593012332916,0.005512625444680452,21.18317413330078,21.18890380859375,0.06886766105890274,19.913555145263672,19.912078857421875,0.04049259424209595,125.69160461425781,125.69000244140625,0.006121449638158083,5.182799816131592,5.179999828338623,0.00449009146541357,37.86000061035156,37.86000061035156,0.0
