scene_id,sensor,time_utc,lakeN,pathrow,lst_class_dt_median0,lst_class_dt_mean0,lst_class_dt_std0,lst_class_dt_mean_all_pixels,lst_class_dt_median_all_pixels,lst_class_rf_median0,lst_class_rf_mean0,lst_class_rf_std0,lst_class_rf_mean_all_pixels,lst_class_rf_median_all_pixels,lst_class_xgb_median0,lst_class_xgb_mean0,lst_class_xgb_std0,lst_class_xgb_mean_all_pixels,lst_class_xgb_median_all_pixels,lstmap_usgs_on_tact_median0,lstmap_usgs_on_tact_mean0,lstmap_usgs_on_tact_std0,lstmap_usgs_on_tact_mean_all_pixels,lstmap_usgs_on_tact_median_all_pixels,lstmap_dt_usgs_median0,lstmap_dt_usgs_mean0,lstmap_dt_usgs_std0,lstmap_dt_usgs_mean_all_pixels,lstmap_dt_usgs_median_all_pixels,lstmap_rf_usgs_median0,lstmap_rf_usgs_mean0,lstmap_rf_usgs_std0,lstmap_rf_usgs_mean_all_pixels,lstmap_rf_usgs_median_all_pixels,lstmap_xgb_usgs_median0,lstmap_xgb_usgs_mean0,lstmap_xgb_usgs_std0,lstmap_xgb_usgs_mean_all_pixels,lstmap_xgb_usgs_median_all_pixels,lstmap1_median0,lstmap1_mean0,lstmap1_std0,lstmap1_mean_all_pixels,lstmap1_median_all_pixels,lstmap_dt_acolite1_median0,lstmap_dt_acolite1_mean0,lstmap_dt_acolite1_std0,lstmap_dt_acolite1_mean_all_pixels,lstmap_dt_acolite1_median_all_pixels,lstmap_rf_acolite1_median0,lstmap_rf_acolite1_mean0,lstmap_rf_acolite1_std0,lstmap_rf_acolite1_mean_all_pixels,lstmap_rf_acolite1_median_all_pixels,lstmap_xgb_acolite1_median0,lstmap_xgb_acolite1_mean0,lstmap_xgb_acolite1_std0,lstmap_xgb_acolite1_mean_all_pixels,lstmap_xgb_acolite1_median_all_pixels,lstmap2_median0,lstmap2_mean0,lstmap2_std0,lstmap2_mean_all_pixels,lstmap2_median_all_pixels,lstmap_dt_acolite2_median0,lstmap_dt_acolite2_mean0,lstmap_dt_acolite2_std0,lstmap_dt_acolite2_mean_all_pixels,lstmap_dt_acolite2_median_all_pixels,lstmap_rf_acolite2_median0,lstmap_rf_acolite2_mean0,lstmap_rf_acolite2_std0,lstmap_rf_acolite2_mean_all_pixels,lstmap_rf_acolite2_median_all_pixels,lstmap_xgb_acolite2_median0,lstmap_xgb_acolite2_mean0,lstmap_xgb_acolite2_std0,lstmap_xgb_acolite2_mean_all_pixels,lstmap_xgb_acolite2_median_all_pixels
LC08_L1TP_024030_20210512_20210524_02_T1,LANDSAT_8,20210512,mendota,024030,3.0,3.0,0.0,2.6917529106140137,3.0,3.0,3.0,0.0,2.722622871398926,3.0,3.0,3.0,0.0,2.7295334339141846,3.0,13.562042236328125,13.538662910461426,0.09291183948516846,14.087342262268066,13.883331298828125,13.562042236328125,13.538662910461426,0.09291183948516846,14.033135414123535,13.869659423828125,13.562042236328125,13.538662910461426,0.09291183948516846,14.048218727111816,13.876495361328125,13.562042236328125,13.538662910461426,0.09291183948516846,14.051081657409668,13.876495361328125,12.759185791015625,12.735692024230957,0.07757697254419327,13.274336814880371,13.055648803710938,12.759185791015625,12.735692024230957,0.07757697254419327,13.219195365905762,13.045028686523438,12.759185791015625,12.735692024230957,0.07757697254419327,13.231640815734863,13.051727294921875,12.759185791015625,12.735692024230957,0.07757697254419327,13.234858512878418,13.050918579101562,13.706695556640625,13.7085599899292,0.047693584114313126,14.341533660888672,14.158843994140625,13.706695556640625,13.7085599899292,0.047693584114313126,14.290193557739258,14.150863647460938,13.706695556640625,13.7085599899292,0.047693584114313126,14.301706314086914,14.1566162109375,13.706695556640625,13.7085599899292,0.047693584114313126,14.305131912231445,14.156707763671875
LC08_L1TP_024030_20210613_20210622_02_T1,LANDSAT_8,20210613,mendota,024030,3.0,3.0,0.0,1.9978612661361694,2.0,3.0,3.0,0.0,2.1052863597869873,2.0,3.0,3.0,0.0,2.0592570304870605,2.0,26.345428466796875,26.318906784057617,0.09070585668087006,26.636432647705078,26.560760498046875,26.345428466796875,26.318906784057617,0.09070585668087006,26.714271545410156,26.612030029296875,26.345428466796875,26.318906784057617,0.09070585668087006,26.708951950073242,26.601776123046875,26.345428466796875,26.318906784057617,0.09070585668087006,26.71685791015625,26.612030029296875,25.215301513671875,25.187973022460938,0.07822254300117493,25.47410774230957,25.380157470703125,25.215301513671875,25.187973022460938,0.07822254300117493,25.544504165649414,25.431320190429688,25.215301513671875,25.187973022460938,0.07822254300117493,25.539688110351562,25.422409057617188,25.215301513671875,25.187973022460938,0.07822254300117493,25.54680633544922,25.432525634765625,26.03656005859375,26.03769302368164,0.04522469639778137,26.416629791259766,26.306320190429688,26.03656005859375,26.03769302368164,0.04522469639778137,26.479167938232422,26.344284057617188,26.03656005859375,26.03769302368164,0.04522469639778137,26.47487449645996,26.33636474609375,26.03656005859375,26.03769302368164,0.04522469639778137,26.48114013671875,26.3450927734375
LC08_L1TP_024030_20210901_20210909_02_T1,LANDSAT_8,20210901,mendota,024030,,,,2.7660465240478516,3.0,,,,2.8150084018707275,3.0,,,,2.785865545272827,3.0,,,,23.85025405883789,23.884429931640625,,,,23.857011795043945,23.887847900390625,,,,23.857084274291992,23.887847900390625,,,,23.857053756713867,23.887847900390625,,,,23.703523635864258,23.73577880859375,,,,23.70992088317871,23.740310668945312,,,,23.710195541381836,23.74053955078125,,,,23.710102081298828,23.740676879882812,,,,24.6864070892334,24.746307373046875,,,,24.697113037109375,24.751556396484375,,,,24.697568893432617,24.751678466796875,,,,24.69764518737793,24.751708984375
LC08_L1TP_024030_20220107_20220114_02_T1,LANDSAT_8,20220107,mendota,024030,,,,2.32328200340271,3.0,,,,2.131486654281616,2.0,,,,2.169705390930176,2.0,,,,-4.7819952964782715,-3.644287109375,,,,-3.783991575241089,-3.367431640625,,,,-3.6438441276550293,-3.148651123046875,,,,-3.7190842628479004,-3.193084716796875,,,,-5.232495307922363,-4.128173828125,,,,-4.250355243682861,-3.859771728515625,,,,-4.093557357788086,-3.64361572265625,,,,-4.16762638092041,-3.68231201171875,,,,-5.8896484375,-4.8852386474609375,,,,-4.979644775390625,-4.658416748046875,,,,-4.855465888977051,-4.48095703125,,,,-4.911930084228516,-4.503662109375
LC08_L1TP_024030_20220123_20220128_02_T1,LANDSAT_8,20220123,mendota,024030,,,,1.25,1.0,,,,1.0,1.0,,,,1.25,1.0,,,,-18.76730728149414,-18.743377685546875,,,,-18.714324951171875,-18.714324951171875,,,,,,,,,-18.714324951171875,-18.714324951171875,,,,-18.39415740966797,-18.55474090576172,,,,-17.598068237304688,-17.598068237304688,,,,,,,,,-17.598068237304688,-17.598068237304688,,,,-17.187091827392578,-17.2513427734375,,,,-16.630096435546875,-16.630096435546875,,,,,,,,,-16.630096435546875,-16.630096435546875
LC08_L1TP_024030_20220312_20220321_02_T1,LANDSAT_8,20220312,mendota,024030,,,,1.8823529481887817,2.0,,,,1.372549057006836,1.0,,,,1.2941176891326904,1.0,,,,-6.128513813018799,-6.156524658203125,,,,-6.128117561340332,-5.920684814453125,,,,-5.826204776763916,-5.672882080078125,,,,-5.775029182434082,-5.667755126953125,,,,-6.516998767852783,-6.247100830078125,,,,-6.375777244567871,-6.01953125,,,,-6.04331111907959,-5.6660919189453125,,,,-6.038045883178711,-5.654632568359375,,,,-5.822601318359375,-5.682037353515625,,,,-5.785760879516602,-5.572601318359375,,,,-5.560178279876709,-5.3615264892578125,,,,-5.550220012664795,-5.33892822265625
LC08_L1TP_024030_20220328_20220405_02_T1,LANDSAT_8,20220328,mendota,024030,2.0,2.0,0.0,1.9612352848052979,2.0,1.0,1.0,0.0,1.564603328704834,2.0,1.0,1.0,0.0,1.6092863082885742,2.0,-4.413330078125,-4.407998085021973,0.16966372728347778,-1.1005373001098633,-1.316619873046875,-4.413330078125,-4.407998085021973,0.16966372728347778,-1.1633628606796265,-1.340545654296875,,,,-0.4865448772907257,-1.046600341796875,,,,-0.41830554604530334,-0.991912841796875,-4.834075927734375,-4.802829742431641,0.16602447628974915,-1.6141977310180664,-1.802825927734375,-4.834075927734375,-4.802829742431641,0.16602447628974915,-1.6716114282608032,-1.8289031982421875,,,,-1.0201154947280884,-1.5458984375,,,,-0.9540594816207886,-1.494598388671875,-4.19549560546875,-4.238264083862305,0.2876652181148529,-1.3517992496490479,-1.7213592529296875,-4.19549560546875,-4.238264083862305,0.2876652181148529,-1.417149543762207,-1.755157470703125,,,,-0.7539214491844177,-1.419830322265625,,,,-0.6723185777664185,-1.361114501953125
LC08_L1TP_024030_20220616_20220629_02_T1,LANDSAT_8,20220616,mendota,024030,1.0,1.0,0.0,1.0048977136611938,1.0,1.0,1.0,0.0,1.3236693143844604,1.0,1.0,1.0,0.0,1.0344003438949585,1.0,20.4219970703125,20.431020736694336,0.025095991790294647,21.001808166503906,20.5108642578125,,,,23.054988861083984,22.918853759765625,,,,20.40680503845215,20.1998291015625,,,,22.175153732299805,21.720855712890625,19.921478271484375,19.927335739135742,0.020955931395292282,20.464805603027344,19.998260498046875,,,,22.349807739257812,22.327011108398438,,,,19.893234252929688,19.700225830078125,,,,21.468887329101562,21.178176879882812,20.5020751953125,20.52872085571289,0.0707520842552185,21.256715774536133,20.800201416015625,,,,23.25935935974121,23.19598388671875,,,,20.722694396972656,20.521804809570312,,,,22.373506546020508,22.19537353515625
LC08_L1TP_024030_20220718_20220725_02_T1,LANDSAT_8,20220718,mendota,024030,3.0,3.0,0.0,2.7965617179870605,3.0,3.0,3.0,0.0,2.814194440841675,3.0,3.0,3.0,0.0,2.801115036010742,3.0,28.570556640625,28.591611862182617,0.04642079770565033,29.272598266601562,29.045654296875,28.570556640625,28.591611862182617,0.04642079770565033,29.226486206054688,29.031982421875,28.570556640625,28.591611862182617,0.04642079770565033,29.2353572845459,29.035400390625,28.570556640625,28.591611862182617,0.04642079770565033,29.23236846923828,29.035400390625,26.8216552734375,26.828310012817383,0.03430502116680145,27.530391693115234,27.291412353515625,26.8216552734375,26.828310012817383,0.03430502116680145,27.474273681640625,27.278640747070312,26.8216552734375,26.828310012817383,0.03430502116680145,27.484270095825195,27.281646728515625,26.8216552734375,26.828310012817383,0.03430502116680145,27.481199264526367,27.279296875,30.25494384765625,30.230253219604492,0.08348734676837921,31.049726486206055,30.791961669921875,30.25494384765625,30.230253219604492,0.08348734676837921,30.987606048583984,30.7789306640625,30.25494384765625,30.230253219604492,0.08348734676837921,30.998645782470703,30.78216552734375,30.25494384765625,30.230253219604492,0.08348734676837921,30.99506950378418,30.779693603515625
LC08_L1TP_024030_20221022_20221101_02_T1,LANDSAT_8,20221022,mendota,024030,2.0,2.0,0.0,1.985479474067688,2.0,2.0,2.0,0.0,1.990835189819336,2.0,2.0,2.0,0.0,1.997345209121704,2.0,11.634246826171875,11.62700080871582,0.03357718884944916,12.045973777770996,11.8359375,11.634246826171875,11.62700080871582,0.03357718884944916,12.00447940826416,11.83251953125,11.634246826171875,11.62700080871582,0.03357718884944916,12.00868034362793,11.83251953125,11.634246826171875,11.62700080871582,0.03357718884944916,12.007984161376953,11.83251953125,11.1285400390625,11.125322341918945,0.02196713536977768,11.524063110351562,11.315719604492188,11.1285400390625,11.125322341918945,0.02196713536977768,11.475851058959961,11.310394287109375,11.1285400390625,11.125322341918945,0.02196713536977768,11.480447769165039,11.311065673828125,11.1285400390625,11.125322341918945,0.02196713536977768,11.479424476623535,11.3109130859375,11.753662109375,11.784688949584961,0.06110880523920059,12.28763198852539,12.0706787109375,11.753662109375,11.784688949584961,0.06110880523920059,12.237421035766602,12.064544677734375,11.753662109375,11.784688949584961,0.06110880523920059,12.242116928100586,12.06524658203125,11.753662109375,11.784688949584961,0.06110880523920059,12.241125106811523,12.065032958984375
