held_out_site,model,loso_overall_binary_accuracy,test_overall_binary_accuracy,train_overall_binary_accuracy,loso_balanced_binary_accuracy,test_balanced_binary_accuracy,train_balanced_binary_accuracy,loso_total_cloud_accuracy,test_total_cloud_accuracy,train_total_cloud_accuracy,loso_water_accuracy,test_water_accuracy,train_water_accuracy
ageri,decision_tree,0.6257910039336412,0.725764192139738,0.9885701845098787,0.608371735043411,0.709009062253743,0.9874631519544201,0.6971690020017157,0.8025925925925926,0.9939551752999163,0.5195744680851064,0.6154255319148936,0.9809711286089239
ageri,random_forest,0.612108773730118,0.7635371179039301,1.0,0.6127748404407425,0.7592198581560283,1.0,0.6093794681155276,0.7833333333333333,1.0,0.6161702127659574,0.7351063829787234,1.0
ageri,xgboost,0.6008209338122114,0.7617903930131005,1.0,0.6057109133056298,0.754022852639874,1.0,0.580783528738919,0.7974074074074075,1.0,0.6306382978723404,0.7106382978723405,1.0
bianco,decision_tree,0.3890746934225195,0.7040577096483318,0.999642186242061,0.3459949937421777,0.6909855228539881,0.9996847791167485,0.2978723404255319,0.7521545319465082,0.999482936918304,0.3941176470588235,0.6298165137614679,0.9998866213151928
bianco,random_forest,0.34894091415830547,0.7632100991884581,1.0,0.6263204005006258,0.7469917662936052,1.0,0.9361702127659575,0.8228826151560178,1.0,0.3164705882352941,0.6711009174311927,1.0
bianco,xgboost,0.3355629877369008,0.7597835888187556,1.0,0.5489111389236546,0.7416647354717341,1.0,0.7872340425531915,0.8264487369985141,1.0,0.31058823529411766,0.6568807339449542,1.0
geneva,decision_tree,0.6335603715170278,0.6701153999204138,1.0,0.632968801313629,0.6627343774921051,1.0,0.6352709359605911,0.7498165810711666,1.0,0.6306666666666667,0.5756521739130435,1.0
geneva,random_forest,0.6612383900928792,0.7107043374452845,1.0,0.6660960591133005,0.7038888002807107,1.0,0.6471921182266009,0.7842993396918562,1.0,0.685,0.6234782608695653,1.0
geneva,xgboost,0.6705263157894736,0.6959808993235177,1.0,0.6702483579638752,0.6876659542569141,1.0,0.6713300492610837,0.7857666911225238,1.0,0.6691666666666667,0.5895652173913043,1.0
greifensee,decision_tree,0.6338729763387297,0.6675854465270121,0.9965520411916146,0.6755755395683454,0.6490746410832142,0.9959664855537258,0.8111510791366906,0.7342995169082126,0.9988533863323651,0.54,0.563849765258216,0.9930795847750865
greifensee,random_forest,0.7428393524283935,0.7056229327453142,1.0,0.788102089756766,0.6883670987276316,1.0,0.935251798561151,0.7678140096618358,1.0,0.6409523809523809,0.6089201877934273,1.0
greifensee,xgboost,0.7571606475716065,0.7072767364939361,1.0,0.8062470023980814,0.6854532387562087,1.0,0.9658273381294964,0.7859299516908212,1.0,0.6466666666666666,0.5849765258215962,1.0
mendota,decision_tree,0.7016,0.6941756436005112,0.9644814932270195,0.6647916666666667,0.6858880429123261,0.9615426944998801,0.79625,0.7305204804434863,0.9789196310935442,0.5333333333333333,0.6412556053811659,0.9441657579062159
mendota,random_forest,0.7352,0.7376300894650356,1.0,0.7051388888888889,0.7268211015065994,1.0,0.8125,0.7850323375423468,1.0,0.5977777777777777,0.668609865470852,1.0
mendota,xgboost,0.7536,0.7356216907065912,1.0,0.7195138888888889,0.724565414642837,1.0,0.84125,0.7841084077610102,1.0,0.5977777777777777,0.6650224215246637,1.0
venice,decision_tree,0.6285245901639345,0.7171384257464133,0.9914529914529915,0.6203203661327231,0.7029711735848823,0.9903682222421089,0.6536842105263158,0.7843461030383091,0.9968391282648478,0.5869565217391305,0.6215962441314554,0.9838973162193699
venice,random_forest,0.6786885245901639,0.7291585886002326,1.0,0.6755148741418764,0.7189174899684323,1.0,0.6884210526315789,0.7777410832232496,1.0,0.662608695652174,0.6600938967136151,1.0
venice,xgboost,0.6855737704918032,0.7338115548662272,1.0,0.6808695652173913,0.7255259208265887,1.0,0.7,0.773117569352708,1.0,0.6617391304347826,0.6779342723004694,1.0
