run_index,run_name,held_out_site,model,dataset,n_source_rows,n_evaluated_rows,dropped_incomplete_rows,actual_total_cloud_rows,actual_water_rows,predicted_total_cloud_rows,predicted_water_rows,true_total_cloud_predicted_total_cloud,true_total_cloud_predicted_water,true_water_predicted_total_cloud,true_water_predicted_water,overall_binary_accuracy,balanced_binary_accuracy,total_cloud_accuracy,water_accuracy,total_cloud_user_accuracy,water_user_accuracy,total_cloud_f1,water_f1,dataset_csv,model_path
1,held_out_ageri,ageri,decision_tree,loso,5847,5847,0,3497,2350,3567,2280,2438,1059,1129,1221,0.6257910039336412,0.608371735043411,0.6971690020017157,0.5195744680851064,0.6834875245304177,0.5355263157894737,0.6902604756511891,0.5274298056155508,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/DT_best_all_general.pkl
1,held_out_ageri,ageri,decision_tree,test,4580,4580,0,2700,1880,2890,1690,2167,533,723,1157,0.725764192139738,0.709009062253743,0.8025925925925926,0.6154255319148936,0.7498269896193772,0.6846153846153846,0.7753130590339893,0.6481792717086835,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/DT_best_all_general.pkl
1,held_out_ageri,ageri,decision_tree,train,18373,18373,0,10753,7620,10833,7540,10688,65,145,7475,0.9885701845098787,0.9874631519544201,0.9939551752999163,0.9809711286089239,0.9866149727683928,0.9913793103448276,0.9902714722505328,0.9861477572559367,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/DT_best_all_general.pkl
1,held_out_ageri,ageri,random_forest,loso,5847,5847,0,3497,2350,3033,2814,2131,1366,902,1448,0.612108773730118,0.6127748404407425,0.6093794681155276,0.6161702127659574,0.7026046818331685,0.5145700071073206,0.6526799387442572,0.5608055770720372,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/RF_best_all_general.pkl
1,held_out_ageri,ageri,random_forest,test,4580,4580,0,2700,1880,2613,1967,2115,585,498,1382,0.7635371179039301,0.7592198581560283,0.7833333333333333,0.7351063829787234,0.8094144661308841,0.7025927808845959,0.7961603613777527,0.7184819339745256,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/RF_best_all_general.pkl
1,held_out_ageri,ageri,random_forest,train,18373,18373,0,10753,7620,10753,7620,10753,0,0,7620,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/RF_best_all_general.pkl
1,held_out_ageri,ageri,xgboost,loso,5847,5847,0,3497,2350,2899,2948,2031,1466,868,1482,0.6008209338122114,0.6057109133056298,0.580783528738919,0.6306382978723404,0.7005864091065884,0.5027137042062415,0.6350844277673546,0.5594563986409966,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/XGB_best_all_general.pkl
1,held_out_ageri,ageri,xgboost,test,4580,4580,0,2700,1880,2697,1883,2153,547,544,1336,0.7617903930131005,0.754022852639874,0.7974074074074075,0.7106382978723405,0.7982944011865035,0.709506107275624,0.7978506577728368,0.7100717512622907,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/XGB_best_all_general.pkl
1,held_out_ageri,ageri,xgboost,train,18373,18373,0,10753,7620,10753,7620,10753,0,0,7620,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/XGB_best_all_general.pkl
2,held_out_bianco,bianco,decision_tree,loso,897,897,0,47,850,529,368,14,33,515,335,0.3890746934225195,0.3459949937421777,0.2978723404255319,0.3941176470588235,0.026465028355387523,0.9103260869565217,0.04861111111111111,0.5500821018062397,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/DT_best_all_general.pkl
2,held_out_bianco,bianco,decision_tree,test,5545,5545,0,3365,2180,3338,2207,2531,834,807,1373,0.7040577096483318,0.6909855228539881,0.7521545319465082,0.6298165137614679,0.7582384661473937,0.6221114635251472,0.7551842458600626,0.6259402780943697,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/DT_best_all_general.pkl
2,held_out_bianco,bianco,decision_tree,train,22358,22358,0,13538,8820,13532,8826,13531,7,1,8819,0.999642186242061,0.9996847791167485,0.999482936918304,0.9998866213151928,0.9999261010937038,0.99920688873782,0.9997044698928703,0.9995466394650345,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/DT_best_all_general.pkl
