scene_id,sensor,season,sites,classes,partitions,train_rows,test_rows,leave_out_site_rows,is_train_test_overlap,is_configured_overlap_exception
LC08_L1TP_024030_20210901_20210909_02_T1,LC08,SON,mendota,1;2;3,train,150,0,0,False,False
LC08_L1TP_024030_20220107_20220114_02_T1,LC08,DJF,mendota,1;2;3,train,150,0,0,False,False
LC08_L1TP_024030_20220328_20220405_02_T1,LC08,MAM,mendota,1;2;3,test,0,150,0,False,False
LC08_L1TP_024030_20231009_20231017_02_T1,LC08,SON,mendota,1;2;3,train,150,0,0,False,False
LC08_L1TP_024030_20231212_20231215_02_T1,LC08,DJF,mendota,1;2;3,train,150,0,0,False,False
LC08_L1TP_191028_20240810_20240815_02_T1,LC08,JJA,venice,3,test,0,50,0,False,False
LC08_L1TP_191028_20250813_20250821_02_T1,LC08,JJA,venice,1;2;3,train,150,0,0,False,False
LC08_L1TP_191029_20240607_20240627_02_T1,LC08,JJA,venice,1;2;3,test,0,150,0,False,False
LC08_L1TP_191029_20240709_20240718_02_T1,LC08,JJA,venice,3,train,50,0,0,False,False
LC08_L1TP_191029_20240810_20240815_02_T1,LC08,JJA,venice,3,train,50,0,0,False,False
LC08_L1TP_191029_20240911_20240914_02_T1,LC08,SON,venice,1;2;3,train,150,0,0,False,False
LC08_L1TP_191029_20241130_20241203_02_T1,LC08,SON,venice,3,train,50,0,0,False,False
LC08_L1TP_191029_20250525_20250603_02_T1,LC08,MAM,venice,1;2;3,train,150,0,0,False,False
LC08_L1TP_191029_20250813_20250821_02_T1,LC08,JJA,venice,1;2;3,train,150,0,0,False,False
LC08_L1TP_192028_20240411_20240419_02_T1,LC08,MAM,venice,1;2;3,test,0,150,0,False,False
LC08_L1TP_192029_20240411_20240419_02_T1,LC08,MAM,venice,1;2;3,train,150,0,0,False,False
LC08_L1TP_192029_20250703_20250711_02_T1,LC08,JJA,venice,1;2;3,train,150,0,0,False,False
LC08_L1TP_193028_20210613_20210622_02_T1,LC08,JJA,bianco,1;2;3,train,97,0,0,False,False
LC08_L1TP_193028_20210901_20210909_02_T1,LC08,SON,bianco,3,train,50,0,0,False,False
LC08_L1TP_193028_20220718_20220726_02_T1,LC08,JJA,bianco,3,train,50,0,0,False,False
LC08_L1TP_193028_20220803_20220806_02_T1,LC08,JJA,bianco,3,train,50,0,0,False,False
LC08_L1TP_193028_20221006_20221013_02_T1,LC08,SON,bianco,3,train,50,0,0,False,False
LC08_L1TP_193028_20230822_20230826_02_T1,LC08,JJA,bianco,3,train,50,0,0,False,False
LC08_L1TP_193028_20230907_20230912_02_T1,LC08,SON,bianco,3,test,0,50,0,False,False
LC08_L1TP_193028_20231009_20231017_02_T1,LC08,SON,bianco,3,train,50,0,0,False,False
LC08_L1TP_193028_20250624_20250701_02_T1,LC08,JJA,bianco,3,test,0,50,0,False,False
LC08_L1TP_193028_20250710_20250715_02_T1,LC08,JJA,bianco,3,test,0,50,0,False,False
