run_index,run_name,held_out_site,model,train_accuracy,train_balanced_accuracy,train_f1_macro,test_accuracy,test_balanced_accuracy,test_f1_macro,leave_out_site_accuracy,leave_out_site_balanced_accuracy,leave_out_site_f1_macro,cv_selection_score_mean,cv_selection_score_std,selection_scoring,n_trials,searches,final_n_estimators,selected_parameters,train_csv,test_csv,leave_out_site_csv,scene_manifest_path,model_path,metrics_path,metadata_path
1,held_out_ageri,ageri,decision_tree,0.9793719044249715,0.9790927216490481,0.9784283462849173,0.5264192139737991,0.5147714736012609,0.514491972439321,0.4561313494099538,0.4473094900817729,0.4476160143341585,0.7708835030211445,0.005258949259036641,balanced_accuracy,200,1,,"{""ccp_alpha"": 2.3825398131435745e-08, ""class_weight"": null, ""criterion"": ""entropy"", ""max_depth"": 29, ""max_features"": 0.8, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}",/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/scene_split_manifest.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/DT_best_all_general.pkl,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/metrics_summary.json,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/model_metadata.json
1,held_out_ageri,ageri,random_forest,1.0,1.0,1.0,0.608296943231441,0.5917021276595745,0.59035195535551,0.46878741234821275,0.4477703416825693,0.44026261943754186,0.8669187471383136,0.004888679770620613,balanced_accuracy,200,1,,"{""bootstrap"": false, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced_subsample"", ""criterion"": ""log_loss"", ""max_depth"": null, ""max_features"": 0.5, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 1000, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/scene_split_manifest.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/RF_best_all_general.pkl,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/metrics_summary.json,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/model_metadata.json
1,held_out_ageri,ageri,xgboost,1.0,1.0,1.0,0.6037117903930131,0.589718938796953,0.5885822642075872,0.4732341371643578,0.4509990937014931,0.44265878654441665,0.8875382763566952,0.006792127052506095,balanced_accuracy,200,1,791.0,"{""colsample_bytree"": 0.96724977808482, ""gamma"": 0.009798047618663798, ""learning_rate"": 0.06089903539343169, ""max_depth"": 8, ""min_child_weight"": 0.689124567691932, ""n_estimators"": 791, ""reg_alpha"": 2.3029529894965507e-08, ""reg_lambda"": 0.15724271938051176, ""subsample"": 0.9501866522583191}",/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_ageri/scene_split_manifest.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/XGB_best_all_general.pkl,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/metrics_summary.json,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_ageri/model_metadata.json
2,held_out_bianco,bianco,decision_tree,0.998926558726183,0.9988316123009512,0.9988620610645871,0.5247971145175834,0.5137638393925495,0.5116532710903409,0.37681159420289856,0.22325289089994974,0.19022674827804753,0.7834495201559765,0.007787065357690804,balanced_accuracy,200,1,,"{""ccp_alpha"": 2.0128618902520895e-09, ""class_weight"": null, ""criterion"": ""entropy"", ""max_depth"": 26, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}",/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/scene_split_manifest.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/DT_best_all_general.pkl,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/metrics_summary.json,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/model_metadata.json
2,held_out_bianco,bianco,random_forest,1.0,1.0,1.0,0.5675383228133454,0.5562664013176696,0.5501355729097894,0.30434782608695654,0.17279788838612367,0.16785629237418465,0.8761198383252161,0.004257142058822933,balanced_accuracy,200,1,,"{""bootstrap"": false, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced_subsample"", ""criterion"": ""log_loss"", ""max_depth"": 32, ""max_features"": 0.5, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 600, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/scene_split_manifest.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/RF_best_all_general.pkl,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/metrics_summary.json,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/model_metadata.json
2,held_out_bianco,bianco,xgboost,1.0,1.0,1.0,0.5707844905320109,0.5614598030302295,0.5587122357840383,0.30211817168338906,0.39519607843137255,0.17240283893278643,0.8938782421029241,0.0035069382730687562,balanced_accuracy,200,1,944.0,"{""colsample_bytree"": 0.9434797202729159, ""gamma"": 0.0005176688891365255, ""learning_rate"": 0.03988505524999313, ""max_depth"": 10, ""min_child_weight"": 0.8886096301524139, ""n_estimators"": 944, ""reg_alpha"": 0.0014335159403612463, ""reg_lambda"": 0.7525986223803526, ""subsample"": 0.8836838778815156}",/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/scene_split_manifest.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/XGB_best_all_general.pkl,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/metrics_summary.json,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/model_metadata.json
3,held_out_geneva,geneva,decision_tree,1.0,1.0,1.0,0.49462793473935535,0.4751723891296016,0.4598206090691656,0.47256965944272444,0.4623933216851097,0.4454656534414936,0.8290657295965229,0.006318582617034847,balanced_accuracy,200,1,,"{""ccp_alpha"": 8.313457708841856e-09, ""class_weight"": null, ""criterion"": ""entropy"", ""max_depth"": 23, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}",/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/scene_split_manifest.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/DT_best_all_general.pkl,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/metrics_summary.json,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/model_metadata.json
3,held_out_geneva,geneva,random_forest,1.0,1.0,1.0,0.533625149224035,0.5119051357526597,0.48625371231842934,0.5009907120743035,0.4889642787808193,0.45336150097844885,0.9032749047794102,0.005839697598946765,balanced_accuracy,200,1,,"{""bootstrap"": false, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": 48, ""max_features"": 0.5, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 1000, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/scene_split_manifest.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/RF_best_all_general.pkl,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/metrics_summary.json,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/model_metadata.json
3,held_out_geneva,geneva,xgboost,1.0,1.0,1.0,0.532033426183844,0.5178013799169033,0.49539841165272613,0.5069349845201239,0.49620640005176986,0.46170126737341194,0.9192125171927643,0.008527408113733793,balanced_accuracy,200,1,931.0,"{""colsample_bytree"": 0.676741748385979, ""gamma"": 0.0005945750098949246, ""learning_rate"": 0.02810782412741267, ""max_depth"": 9, ""min_child_weight"": 0.6619620512512246, ""n_estimators"": 931, ""reg_alpha"": 0.001380834645115194, ""reg_lambda"": 0.6922388830866041, ""subsample"": 0.9127305685215837}",/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/scene_split_manifest.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/XGB_best_all_general.pkl,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/metrics_summary.json,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/model_metadata.json
4,held_out_greifensee,greifensee,decision_tree,0.9937017285766826,0.9937485468858469,0.9934788596725577,0.4755604557148107,0.46573481308139303,0.4627568473459216,0.5398505603985057,0.5364409722222222,0.48895627911251216,0.785862674413828,0.0031060969243045054,balanced_accuracy,200,1,,"{""ccp_alpha"": 0.00011988902140243029, ""class_weight"": null, ""criterion"": ""log_loss"", ""max_depth"": 24, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}",/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_greifensee/scene_split_manifest.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/DT_best_all_general.pkl,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/metrics_summary.json,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_greifensee/model_metadata.json
