number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
0,0.6595973227540484,2026-08-25 14:38:13.264768,2026-08-25 14:38:13.810112,0 days 00:00:00.545344,1.3480180290890803e-07,balanced,log_loss,12,0.6,59,96,best,0.6595973227540484,0.011716172218034176,"[0.6500371662703249, 0.6765492890866023, 0.6662649637901497, 0.6616308799978018, 0.643504314625363]",COMPLETE
1,0.5398143487544739,2026-08-25 14:38:13.810496,2026-08-25 14:38:13.876174,0 days 00:00:00.065678,0.0043873144324354085,,log_loss,17,0.8,24,44,random,0.5398143487544739,0.016446770882655386,"[0.5507875277539701, 0.5330090472762414, 0.5164066118573414, 0.5343885093407441, 0.5644800475440729]",COMPLETE
2,0.5070742159351423,2026-08-25 14:38:13.876535,2026-08-25 14:38:13.904586,0 days 00:00:00.028051,0.006124806805925988,,gini,30,sqrt,25,82,random,0.5070742159351423,0.026742233209396737,"[0.4840453077556482, 0.5302279540425094, 0.5358469756009553, 0.5177640561837381, 0.4674867860928608]",COMPLETE
3,0.6172748782099748,2026-08-25 14:38:13.905018,2026-08-25 14:38:14.081413,0 days 00:00:00.176395,0.00041245717727594227,,log_loss,24,sqrt,72,95,best,0.6172748782099748,0.0036061099428549596,"[0.6228083578889491, 0.6181873651274817, 0.6115143367613883, 0.6166588770797552, 0.6172054541923]",COMPLETE
4,0.5495290789771665,2026-08-25 14:38:14.081749,2026-08-25 14:38:14.180414,0 days 00:00:00.098665,1.5027137214154575e-07,,entropy,4,log2,62,99,best,0.5495290789771665,0.013549346333005351,"[0.5343711460888235, 0.5748438363359013, 0.5435284296853188, 0.5462935431820607, 0.5486084395937287]",COMPLETE
5,0.6561499544447607,2026-08-25 14:38:14.180785,2026-08-25 14:38:14.896804,0 days 00:00:00.716019,2.8501838758433707e-05,,gini,11,,52,74,best,0.6561499544447607,0.009790881943632979,"[0.6530856791523162, 0.6686321583408267, 0.6416430412062307, 0.6654291418177664, 0.6519597517066635]",COMPLETE
6,0.5441681100850451,2026-08-25 14:38:14.897235,2026-08-25 14:38:14.924070,0 days 00:00:00.026835,0.0017697543538533224,,entropy,11,log2,73,52,random,0.5441681100850451,0.017077209965411976,"[0.5313044733921845, 0.565042691011536, 0.5219780862613315, 0.5397682217636969, 0.5627470779964762]",COMPLETE
7,0.6588034352544637,2026-08-25 14:38:14.924400,2026-08-25 14:38:15.577156,0 days 00:00:00.652756,1.8298712093870903e-07,balanced,entropy,17,0.8,72,81,best,0.6588034352544637,0.006247652394813454,"[0.6619758971284307, 0.6568761747068637, 0.6647522215763785, 0.6629563500370862, 0.6474565328235596]",COMPLETE
8,0.639281884735699,2026-08-25 14:38:15.577493,2026-08-25 14:38:15.647573,0 days 00:00:00.070080,1.0333896431462928e-08,,entropy,17,,30,71,random,0.639281884735699,0.01141357932253354,"[0.642851043332867, 0.6288805880849684, 0.6448120438456689, 0.6557283302832825, 0.6241374181317088]",COMPLETE
9,0.650136133985382,2026-08-25 14:38:15.647919,2026-08-25 14:38:15.813609,0 days 00:00:00.165690,1.3685182782317289e-05,,gini,16,sqrt,20,99,best,0.650136133985382,0.01638609990550733,"[0.6614748644684453, 0.6597615745390507, 0.666452244537961, 0.6404453025074673, 0.6225466838739852]",COMPLETE
10,0.5491560966623805,2026-08-25 14:38:15.813941,2026-08-25 14:38:16.020572,0 days 00:00:00.206631,1.3312110800515346e-09,balanced,log_loss,3,0.6,1,2,best,0.5491560966623805,0.00560111432379546,"[0.5394374431346501, 0.5480491735524787, 0.5513681107808788, 0.5503648812239281, 0.5565608746199672]",COMPLETE
11,0.6433304485433959,2026-08-25 14:38:16.020917,2026-08-25 14:38:16.335010,0 days 00:00:00.314093,4.0184266648472174e-07,balanced,entropy,11,0.4,50,56,best,0.6433304485433959,0.008769328140598463,"[0.6596859963951852, 0.6370252309133222, 0.6346446861831524, 0.6433086094588791, 0.641987719766441]",COMPLETE
12,0.6696765238299045,2026-08-25 14:38:16.335315,2026-08-25 14:38:16.990967,0 days 00:00:00.655652,2.9769597875852853e-07,balanced,log_loss,22,0.8,55,82,best,0.6696765238299045,0.011559776756848765,"[0.6601314829887728, 0.6555274722184339, 0.6794996205063212, 0.6862074174094804, 0.6670166260265143]",COMPLETE
13,0.6767364363678818,2026-08-25 14:38:16.991318,2026-08-25 14:38:17.503566,0 days 00:00:00.512248,3.7405716246710883e-06,balanced,log_loss,24,0.6,45,65,best,0.6767364363678818,0.006615946499814774,"[0.6879319132554961, 0.6685211668185174, 0.6721654087662774, 0.6761417500923884, 0.6789219429067298]",COMPLETE
14,0.6754312623726925,2026-08-25 14:38:17.504076,2026-08-25 14:38:18.039641,0 days 00:00:00.535565,6.174767494322357e-06,balanced,log_loss,25,0.6,40,34,best,0.6754312623726925,0.00837632763091946,"[0.68546073436251, 0.6779232985165978, 0.6820817810875087, 0.6630167277403718, 0.6686737701564743]",COMPLETE
15,0.6863399380273051,2026-08-25 14:38:18.039948,2026-08-25 14:38:18.562108,0 days 00:00:00.522160,6.605753887567251e-06,balanced,log_loss,29,0.6,39,27,best,0.6863399380273051,0.0036325270885938237,"[0.6855549761299274, 0.6871793233630368, 0.6896536771598836, 0.689554958992954, 0.6797567544907235]",COMPLETE
16,0.6863399380273051,2026-08-25 14:38:18.562471,2026-08-25 14:38:19.083477,0 days 00:00:00.521006,2.14902646134673e-06,balanced,log_loss,29,0.6,39,18,best,0.6863399380273051,0.0036325270885938237,"[0.6855549761299274, 0.6871793233630368, 0.6896536771598836, 0.689554958992954, 0.6797567544907235]",COMPLETE
