number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
0,0.8008625255661748,2026-08-25 14:40:29.164394,2026-08-25 14:40:47.168609,0 days 00:00:18.004215,True,,log_loss,32.0,0.7,15,3,300,0.8008625255661748,0.0033885883973262735,"[0.8008538852871242, 0.8014586624884842, 0.7970621703032168, 0.80679638323292, 0.7981415265191288]",COMPLETE
1,0.776520861580472,2026-08-25 14:40:47.169056,2026-08-25 14:40:56.231131,0 days 00:00:09.062075,True,balanced,gini,16.0,sqrt,13,20,600,0.776520861580472,0.004449750611482649,"[0.7809951959990323, 0.7756796277725466, 0.772455394514628, 0.7822891870466174, 0.7711849025695353]",COMPLETE
2,0.706123554717452,2026-08-25 14:40:56.231466,2026-08-25 14:41:25.080458,0 days 00:00:28.848992,True,balanced,entropy,8.0,0.7,15,28,600,0.706123554717452,0.00506111991047454,"[0.7112559030669005, 0.7041979495685653, 0.7064075964179496, 0.6976012806215358, 0.7111550439123085]",COMPLETE
3,0.7859597926749906,2026-08-25 14:41:25.080785,2026-08-25 14:41:47.623707,0 days 00:00:22.542922,False,,log_loss,24.0,sqrt,20,25,800,0.7859597926749906,0.004664433499690483,"[0.7876486219625195, 0.7851476268113338, 0.7812674162048086, 0.7940310375377223, 0.7817042608585688]",COMPLETE
4,0.7701828569928868,2026-08-25 14:41:47.624041,2026-08-25 14:42:05.374845,0 days 00:00:17.750804,True,,entropy,16.0,sqrt,15,31,1000,0.7701828569928868,0.0026460151942683963,"[0.7696358302514147, 0.7710502684548016, 0.768359330538486, 0.7747750251360239, 0.7670938305837076]",COMPLETE
5,0.8372255374890593,2026-08-25 14:42:05.375173,2026-08-25 14:42:34.910282,0 days 00:00:29.535109,False,balanced,gini,48.0,0.3,3,18,800,0.8372255374890593,0.0035514825725484946,"[0.841835506495643, 0.8377502214580547, 0.83173620615398, 0.8397843024949648, 0.8350214508426532]",COMPLETE
6,0.8173665593592784,2026-08-25 14:42:34.910606,2026-08-25 14:42:54.900031,0 days 00:00:19.989425,True,balanced,entropy,48.0,0.5,1,34,400,0.8173665593592784,0.004426528176636762,"[0.8217592065585281, 0.8204969269653922, 0.8114836116803396, 0.8206037554077342, 0.8124892961843981]",COMPLETE
7,0.8145546300530244,2026-08-25 14:42:54.900358,2026-08-25 14:43:37.698756,0 days 00:00:42.798398,False,balanced,log_loss,32.0,0.3,15,19,1000,0.8145546300530244,0.004668034481024081,"[0.8183540764016611, 0.8160345916464525, 0.8070646992423635, 0.8197699025263084, 0.811549880448336]",COMPLETE
8,0.7179879171704919,2026-08-25 14:43:37.699086,2026-08-25 14:45:19.429043,0 days 00:01:41.729957,False,balanced_subsample,gini,24.0,1.0,19,40,900,0.7179879171704919,0.005107470569795348,"[0.7130537095876269, 0.725130518126639, 0.7222384848105459, 0.7175993618008617, 0.7119175115267865]",COMPLETE
9,0.8540191789680038,2026-08-25 14:45:19.429374,2026-08-25 14:45:49.255267,0 days 00:00:29.825893,False,balanced_subsample,log_loss,,0.3,1,10,600,0.8540191789680038,0.004014379851640975,"[0.8560563093807633, 0.8604219905500096, 0.8484492321661815, 0.8529633831081848, 0.85220497963488]",COMPLETE
10,0.8298317676497936,2026-08-25 14:45:49.255609,2026-08-25 14:46:05.382046,0 days 00:00:16.126437,False,balanced_subsample,log_loss,,log2,7,2,500,0.8298317676497936,0.004969636259097102,"[0.8310432071720796, 0.8339887039931392, 0.8296068131884571, 0.8340224796229568, 0.8204976342723348]",COMPLETE
11,0.8469019839034975,2026-08-25 14:46:05.382394,2026-08-25 14:46:32.460832,0 days 00:00:27.078438,False,balanced_subsample,gini,48.0,0.3,1,12,700,0.8469019839034975,0.003634446614178836,"[0.8495294294721516, 0.8499502838952585, 0.8408587458478278, 0.8496608181434118, 0.8445106421588378]",COMPLETE
12,0.7959268239805137,2026-08-25 14:46:32.461224,2026-08-25 14:46:55.189525,0 days 00:00:22.728301,False,balanced_subsample,gini,12.0,0.3,5,11,700,0.7959268239805137,0.0036056082656437303,"[0.801603456864977, 0.7925317776634238, 0.7962886927659166, 0.7975738230772832, 0.7916363695309679]",COMPLETE
13,0.8527884187783827,2026-08-25 14:46:55.189907,2026-08-25 14:47:25.032386,0 days 00:00:29.842479,False,balanced_subsample,log_loss,,0.3,1,11,600,0.8527884187783827,0.004208464465260032,"[0.8520962677570095, 0.860225878773447, 0.8471514975887615, 0.85180304086283, 0.852665408909866]",COMPLETE
14,0.8352340769386812,2026-08-25 14:47:25.032713,2026-08-25 14:47:48.394143,0 days 00:00:23.361430,False,balanced_subsample,log_loss,,0.3,8,9,500,0.8352340769386812,0.0033081237780913197,"[0.8359429878103541, 0.8385598824600815, 0.8322755214824601, 0.8388083416708172, 0.8305836512696928]",COMPLETE
15,0.8575227054378278,2026-08-25 14:47:48.394493,2026-08-25 14:48:30.975880,0 days 00:00:42.581387,False,balanced_subsample,log_loss,,0.5,4,7,500,0.8575227054378278,0.004474014101958669,"[0.8592859491285298, 0.8641048623859141, 0.85152556952132, 0.8590805485264824, 0.8536165976268929]",COMPLETE
16,0.8389063311491244,2026-08-25 14:48:30.976225,2026-08-25 14:48:55.153535,0 days 00:00:24.177310,False,balanced_subsample,log_loss,,0.5,9,6,300,0.8389063311491244,0.006031907198423044,"[0.837700587959818, 0.8476828450205622, 0.831516298106095, 0.8437560832012565, 0.8338758414578903]",COMPLETE
17,0.8505858348663808,2026-08-25 14:48:55.153854,2026-08-25 14:49:28.859458,0 days 00:00:33.705604,False,balanced_subsample,log_loss,,0.5,4,16,400,0.8505858348663808,0.0050123367922195895,"[0.8525773681935447, 0.8577971280036029, 0.8424762689666352, 0.8513209960014967, 0.8487574131666248]",COMPLETE
18,0.6876499007455605,2026-08-25 14:49:28.859855,2026-08-25 14:49:40.006541,0 days 00:00:11.146686,False,balanced_subsample,log_loss,8.0,log2,6,7,500,0.6876499007455605,0.002506198290001001,"[0.686981593497516, 0.6917154598782203, 0.689170851215675, 0.6852959094428583, 0.6850856896935332]",COMPLETE
19,0.7070587147805157,2026-08-25 14:49:40.006858,2026-08-25 14:50:36.924878,0 days 00:00:56.918020,False,balanced_subsample,log_loss,12.0,1.0,10,15,400,0.7070587147805157,0.005266208243606843,"[0.7044702529860224, 0.7085950650849694, 0.7122486093421821, 0.7118494372888916, 0.6981302092005128]",COMPLETE
20,0.8613798685340484,2026-08-25 14:50:36.925203,2026-08-25 14:51:35.431755,0 days 00:00:58.506552,False,,entropy,,0.5,3,5,700,0.8613798685340484,0.005787048768314877,"[0.8625881729125898, 0.870485454646596, 0.852946135130299, 0.8626961825590594, 0.8581833974216976]",COMPLETE
21,0.8613798685340484,2026-08-25 14:51:35.432100,2026-08-25 14:52:34.461806,0 days 00:00:59.029706,False,,entropy,,0.5,3,5,700,0.8613798685340484,0.005787048768314877,"[0.8625881729125898, 0.870485454646596, 0.852946135130299, 0.8626961825590594, 0.8581833974216976]",COMPLETE
22,0.8613798685340484,2026-08-25 14:52:34.462144,2026-08-25 14:53:33.278870,0 days 00:00:58.816726,False,,entropy,,0.5,3,5,700,0.8613798685340484,0.005787048768314877,"[0.8625881729125898, 0.870485454646596, 0.852946135130299, 0.8626961825590594, 0.8581833974216976]",COMPLETE
23,0.8609053404704078,2026-08-25 14:53:33.279201,2026-08-25 14:54:40.804486,0 days 00:01:07.525285,False,,entropy,,0.5,3,3,800,0.8609053404704078,0.005611550878009771,"[0.8632081233857236, 0.869749032783732, 0.8532597130544132, 0.861317117654037, 0.8569927154741328]",COMPLETE
