number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
0,0.6484595690895779,2026-08-26 09:09:02.777588,2026-08-26 09:09:03.400774,0 days 00:00:00.623186,1.3480180290890803e-07,balanced,log_loss,12,0.6,59,96,best,0.6484595690895779,0.008289681491592142,"[0.6612161227278578, 0.6529663262032783, 0.6378216091850214, 0.6415804004375433, 0.6487133868941891]",COMPLETE
1,0.5728767981661977,2026-08-26 09:09:03.401093,2026-08-26 09:09:03.463836,0 days 00:00:00.062743,0.0043873144324354085,,log_loss,17,0.8,24,44,random,0.5728767981661977,0.0021125517717643628,"[0.570695552057464, 0.5741146238940688, 0.5748241742975427, 0.5747963993678279, 0.5699532412140851]",COMPLETE
2,0.5232912191780829,2026-08-26 09:09:03.464176,2026-08-26 09:09:03.491770,0 days 00:00:00.027594,0.006124806805925988,,gini,30,sqrt,25,82,random,0.5232912191780829,0.015453559114604417,"[0.4957142857142857, 0.5279568809951406, 0.5183999787825745, 0.5363579943579944, 0.5380269560404192]",COMPLETE
3,0.6288410642476873,2026-08-26 09:09:03.492075,2026-08-26 09:09:03.687612,0 days 00:00:00.195537,0.00041245717727594227,,log_loss,24,sqrt,72,95,best,0.6288410642476873,0.008672471481341187,"[0.6183171403034226, 0.6362486951360599, 0.6246886816529941, 0.6416070430356143, 0.6233437611103456]",COMPLETE
4,0.5777600478659004,2026-08-26 09:09:03.687899,2026-08-26 09:09:03.791915,0 days 00:00:00.104016,1.5027137214154575e-07,,entropy,4,log2,62,99,best,0.5777600478659004,0.004016080065975927,"[0.570781114882926, 0.5758876940426614, 0.5815969313911656, 0.5795124363695793, 0.5810220626431697]",COMPLETE
5,0.6524853033741743,2026-08-26 09:09:03.792236,2026-08-26 09:09:04.660785,0 days 00:00:00.868549,2.8501838758433707e-05,,gini,11,,52,74,best,0.6524853033741743,0.0046974345686798015,"[0.6524039197801925, 0.6610388655708558, 0.6526054083094057, 0.6478490772776487, 0.6485292459327687]",COMPLETE
6,0.5657838284194101,2026-08-26 09:09:04.661138,2026-08-26 09:09:04.682588,0 days 00:00:00.021450,0.0017697543538533224,,entropy,11,log2,73,52,random,0.5657838284194101,0.009062674400358944,"[0.5694658825497964, 0.5680163421601638, 0.5785938116151383, 0.5512874210017067, 0.5615556847702454]",COMPLETE
7,0.6659777344526601,2026-08-26 09:09:04.682886,2026-08-26 09:09:05.468887,0 days 00:00:00.786001,1.8298712093870903e-07,balanced,entropy,17,0.8,72,81,best,0.6659777344526601,0.00582229333541444,"[0.6590365466031526, 0.6741141803694585, 0.6705692344545628, 0.666024466024466, 0.6601442448116609]",COMPLETE
8,0.6465261521897578,2026-08-26 09:09:05.469241,2026-08-26 09:09:05.539069,0 days 00:00:00.069828,1.0333896431462928e-08,,entropy,17,,30,71,random,0.6465261521897578,0.005957648839582062,"[0.6400677178158691, 0.6442617622041049, 0.6577503690496939, 0.6461465287179573, 0.6444043831611638]",COMPLETE
9,0.65805039128255,2026-08-26 09:09:05.539378,2026-08-26 09:09:05.734624,0 days 00:00:00.195246,1.3685182782317289e-05,,gini,16,sqrt,20,99,best,0.65805039128255,0.009283961814230178,"[0.6402230374126205, 0.6629577957259878, 0.6602758362235375, 0.6597286005857436, 0.6670666864648611]",COMPLETE
