number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
0,0.8122578467668632,2026-08-26 09:12:16.542118,2026-08-26 09:12:39.366447,0 days 00:00:22.824329,True,,log_loss,32.0,0.7,15,3,300,0.8122578467668632,0.004294353296573918,"[0.808408478949257, 0.819546726199175, 0.8089430603373375, 0.8096199873342731, 0.814770981014273]",COMPLETE
1,0.7775075059782822,2026-08-26 09:12:39.366760,2026-08-26 09:12:50.430013,0 days 00:00:11.063253,True,balanced,gini,16.0,sqrt,13,20,600,0.7775075059782822,0.004546001181843983,"[0.7714508675612523, 0.7826750793037364, 0.7785154179701387, 0.7730366767509625, 0.7818594883053215]",COMPLETE
2,0.6717864117914523,2026-08-26 09:12:50.430337,2026-08-26 09:13:26.089920,0 days 00:00:35.659583,True,balanced,entropy,8.0,0.7,15,28,600,0.6717864117914523,0.0005223558755862516,"[0.6711320425447528, 0.6726112373279879, 0.6713347498903174, 0.6718488952774667, 0.6720051339167363]",COMPLETE
3,0.791795267091252,2026-08-26 09:13:26.090242,2026-08-26 09:13:54.204258,0 days 00:00:28.114016,False,,log_loss,24.0,sqrt,20,25,800,0.791795267091252,0.007316264053270146,"[0.7884820699093553, 0.8007198403393881, 0.7856685252533501, 0.7837059879917022, 0.8003999119624642]",COMPLETE
4,0.7725215347964743,2026-08-26 09:13:54.204572,2026-08-26 09:14:16.093285,0 days 00:00:21.888713,True,,entropy,16.0,sqrt,15,31,1000,0.7725215347964743,0.005295898181694006,"[0.7701267483434453, 0.781192532414695, 0.7722723267912422, 0.7649755395469681, 0.7740405268860214]",COMPLETE
5,0.8480947728377547,2026-08-26 09:14:16.093615,2026-08-26 09:14:52.536216,0 days 00:00:36.442601,False,balanced,gini,48.0,0.3,3,18,800,0.8480947728377547,0.00440283888367421,"[0.8478414661385404, 0.8533563753750228, 0.8410365355717407, 0.8461823567537854, 0.8520571303496839]",COMPLETE
6,0.8240808482954375,2026-08-26 09:14:52.536519,2026-08-26 09:15:17.874706,0 days 00:00:25.338187,True,balanced,entropy,48.0,0.5,1,34,400,0.8240808482954375,0.005677117826057362,"[0.81829142721673, 0.8316437721056733, 0.8215880288356979, 0.8187854087854087, 0.8300956045336775]",COMPLETE
7,0.8227163036491728,2026-08-26 09:15:17.875012,2026-08-26 09:16:11.544778,0 days 00:00:53.669766,False,balanced,log_loss,32.0,0.3,15,19,1000,0.8227163036491728,0.005524229820689272,"[0.8178425606195406, 0.8292022852136451, 0.8208585547747481, 0.8163860409574695, 0.8292920766804599]",COMPLETE
8,0.7311173292190988,2026-08-26 09:16:11.545087,2026-08-26 09:18:22.012472,0 days 00:02:10.467385,False,balanced_subsample,gini,24.0,1.0,19,40,900,0.7311173292190988,0.002294594689830099,"[0.7290193478074735, 0.7314605849978264, 0.7286852479972188, 0.7350984268127125, 0.7313230384802628]",COMPLETE
9,0.8649834335849527,2026-08-26 09:18:22.012793,2026-08-26 09:18:58.971170,0 days 00:00:36.958377,False,balanced_subsample,log_loss,,0.3,1,10,600,0.8649834335849527,0.004759040583485532,"[0.8690063802283285, 0.8678001546356492, 0.8558698260423693, 0.8648011090868234, 0.8674396979315926]",COMPLETE
10,0.8395937006166084,2026-08-26 09:18:58.971485,2026-08-26 09:19:18.821792,0 days 00:00:19.850307,False,balanced_subsample,log_loss,,log2,7,2,500,0.8395937006166084,0.0035211436543546985,"[0.8402023677430387, 0.8429513046165068, 0.8343594877280441, 0.8368999500428073, 0.8435553929526455]",COMPLETE
11,0.8600708492943534,2026-08-26 09:19:18.822102,2026-08-26 09:19:52.181639,0 days 00:00:33.359537,False,balanced_subsample,gini,48.0,0.3,1,12,700,0.8600708492943534,0.004554596542058278,"[0.8614416803541228, 0.8633793479291283, 0.8511588056775068, 0.8610660567803426, 0.8633083557306659]",COMPLETE
12,0.7986344811453245,2026-08-26 09:19:52.181949,2026-08-26 09:20:19.615290,0 days 00:00:27.433341,False,balanced_subsample,gini,12.0,0.3,5,11,700,0.7986344811453245,0.006182295693140823,"[0.7901176075301034, 0.8080740532484182, 0.7965465282007989, 0.7957226280083423, 0.8027115887389596]",COMPLETE
13,0.8639935030498649,2026-08-26 09:20:19.615622,2026-08-26 09:20:56.463025,0 days 00:00:36.847403,False,balanced_subsample,log_loss,,0.3,1,11,600,0.8639935030498649,0.00407018422406507,"[0.865417797863195, 0.8659142123193136, 0.8559003791351878, 0.8659532668104096, 0.8667818591212182]",COMPLETE
14,0.8468236167829293,2026-08-26 09:20:56.463338,2026-08-26 09:21:25.105328,0 days 00:00:28.641990,False,balanced_subsample,log_loss,,0.3,8,9,500,0.8468236167829293,0.00344630208715331,"[0.8482156926574459, 0.8495596161460485, 0.8400803724946903, 0.8473995851138709, 0.8488628175025914]",COMPLETE
15,0.8699190711661517,2026-08-26 09:21:25.105637,2026-08-26 09:22:18.480428,0 days 00:00:53.374791,False,balanced_subsample,log_loss,,0.5,4,7,500,0.8699190711661517,0.004333627292751208,"[0.8697565759199025, 0.8746471879771635, 0.8620506846975605, 0.8701291867006153, 0.8730117205355167]",COMPLETE
16,0.8518913438745495,2026-08-26 09:22:18.480741,2026-08-26 09:22:49.097651,0 days 00:00:30.616910,False,balanced_subsample,log_loss,,0.5,9,6,300,0.8518913438745495,0.005097523125017012,"[0.8527510734620369, 0.8553721520464634, 0.8438273825310585, 0.8490038907181764, 0.8585022206150118]",COMPLETE
17,0.8611389643454478,2026-08-26 09:22:49.097960,2026-08-26 09:23:31.401761,0 days 00:00:42.303801,False,balanced_subsample,log_loss,,0.5,4,16,400,0.8611389643454478,0.004926492924182635,"[0.8591073464098864, 0.8667065352196635, 0.8541100237953737, 0.8589662835377121, 0.8668046327646036]",COMPLETE
