number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
0,0.6937602640477005,2026-08-26 14:04:25.233736,2026-08-26 14:04:25.462919,0 days 00:00:00.229183,1.3480180290890803e-07,balanced,log_loss,12,0.6,59,96,best,0.6937602640477005,0.004798086732874153,"[0.6860360704209624, 0.6995846152974604, 0.6916782633600039, 0.6979028922117113, 0.6935994789483644]",COMPLETE
1,0.5913222953500029,2026-08-26 14:04:25.463199,2026-08-26 14:04:25.493336,0 days 00:00:00.030137,0.0043873144324354085,,log_loss,17,0.8,24,44,random,0.5913222953500029,0.017215918467366826,"[0.6038433815028263, 0.5835724476683545, 0.5612614773598158, 0.6085314750729407, 0.5994026951460775]",COMPLETE
2,0.5272607201460252,2026-08-26 14:04:25.493636,2026-08-26 14:04:25.508030,0 days 00:00:00.014394,0.006124806805925988,,gini,30,sqrt,25,82,random,0.5272607201460252,0.03191979431223211,"[0.5438425682279527, 0.5580098837381801, 0.5207180066528588, 0.468141592920354, 0.5455915491907805]",COMPLETE
3,0.644339821451144,2026-08-26 14:04:25.508294,2026-08-26 14:04:25.586378,0 days 00:00:00.078084,0.00041245717727594227,,log_loss,24,sqrt,72,95,best,0.644339821451144,0.008807037316867727,"[0.6440069947400223, 0.6525298369619122, 0.6294744299224266, 0.6539715278033277, 0.6417163178280313]",COMPLETE
4,0.6012811153083593,2026-08-26 14:04:25.586685,2026-08-26 14:04:25.633983,0 days 00:00:00.047298,1.5027137214154575e-07,,entropy,4,log2,62,99,best,0.6012811153083593,0.01723898745655528,"[0.6235792582453062, 0.606592024932492, 0.5713769080438128, 0.6080680642335373, 0.5967893210866481]",COMPLETE
5,0.6895254765056305,2026-08-26 14:04:25.634252,2026-08-26 14:04:25.965242,0 days 00:00:00.330990,2.8501838758433707e-05,,gini,11,,52,74,best,0.6895254765056305,0.010127598273411597,"[0.6871325368232523, 0.6784948375289003, 0.6861390117092335, 0.7087166734840075, 0.6871443229827584]",COMPLETE
6,0.5815209854432379,2026-08-26 14:04:25.965570,2026-08-26 14:04:25.978419,0 days 00:00:00.012849,0.0017697543538533224,,entropy,11,log2,73,52,random,0.5815209854432379,0.01044877245189947,"[0.5981753597301042, 0.5703868135016688, 0.588446855883341, 0.5722055215409931, 0.5783903765600829]",COMPLETE
7,0.6876837188266516,2026-08-26 14:04:25.978687,2026-08-26 14:04:26.278518,0 days 00:00:00.299831,1.8298712093870903e-07,balanced,entropy,17,0.8,72,81,best,0.6876837188266516,0.016369650836345197,"[0.7039708937852454, 0.6662292169622446, 0.6745917591215899, 0.7085640949060398, 0.6850626293581383]",COMPLETE
8,0.6521802633023437,2026-08-26 14:04:26.278824,2026-08-26 14:04:26.310655,0 days 00:00:00.031831,1.0333896431462928e-08,,entropy,17,,30,71,random,0.6521802633023437,0.011871287387874768,"[0.6496568306495742, 0.6308604880244555, 0.6571202735208475, 0.6661411663255592, 0.6571225579912819]",COMPLETE
9,0.6797916911263687,2026-08-26 14:04:26.310947,2026-08-26 14:04:26.388448,0 days 00:00:00.077501,1.3685182782317289e-05,,gini,16,sqrt,20,99,best,0.6797916911263687,0.01935225452884107,"[0.7008859367106997, 0.6581974842633233, 0.6705248967599716, 0.7050184164387607, 0.6643317214590888]",COMPLETE
10,0.5906330677733533,2026-08-26 14:04:26.388746,2026-08-26 14:04:26.497132,0 days 00:00:00.108386,1.3312110800515346e-09,balanced,log_loss,3,0.6,1,2,best,0.5906330677733533,0.005410523039508073,"[0.5982111457449065, 0.5890646311558402, 0.5907765347853909, 0.5933673046110473, 0.581745722569582]",COMPLETE
11,0.6722903739955449,2026-08-26 14:04:26.497418,2026-08-26 14:04:26.629216,0 days 00:00:00.131798,1.993338966151073e-05,balanced,gini,10,0.4,50,59,best,0.6722903739955449,0.010450683981184988,"[0.6870797219656134, 0.6694037734993951, 0.6656519890643603, 0.6582323056342495, 0.6810840798141067]",COMPLETE
12,0.7018212865721295,2026-08-26 14:04:26.629514,2026-08-26 14:04:26.878539,0 days 00:00:00.249025,4.8231736633537e-06,balanced,log_loss,12,0.6,48,35,best,0.7018212865721295,0.007756125042304136,"[0.7015799328697763, 0.69196108033245, 0.6975536327528613, 0.7026006050720534, 0.7154111818335064]",COMPLETE
13,0.6860303275248534,2026-08-26 14:04:26.878841,2026-08-26 14:04:27.116710,0 days 00:00:00.237869,6.878618899006824e-07,balanced,log_loss,9,0.6,43,23,best,0.6860303275248534,0.01960951491782217,"[0.673788693328448, 0.6579730751286429, 0.6849231203557617, 0.6987602900363664, 0.7147064587750478]",COMPLETE
14,0.6473909760702135,2026-08-26 14:04:27.117008,2026-08-26 14:04:27.322261,0 days 00:00:00.205253,1.579941230102522e-06,balanced,log_loss,7,0.6,40,31,best,0.6473909760702135,0.023932864278232383,"[0.626132110790122, 0.6203828815528999, 0.667874947126533, 0.6403421607675629, 0.6822227801139494]",COMPLETE
15,0.693143776312425,2026-08-26 14:04:27.322557,2026-08-26 14:04:27.554778,0 days 00:00:00.232221,1.5390005185388046e-08,balanced,log_loss,14,0.6,58,5,best,0.693143776312425,0.009293775816351602,"[0.6856850083675136, 0.6934699980786742, 0.6803082616310205, 0.7006763234838992, 0.7055792900010172]",COMPLETE
16,0.6897163498012705,2026-08-26 14:04:27.555075,2026-08-26 14:04:27.784801,0 days 00:00:00.229726,2.5049378265574325e-06,balanced,log_loss,22,0.6,64,18,best,0.6897163498012705,0.01053595090344505,"[0.6810106942285233, 0.6737453170682199, 0.6963521455866556, 0.7016862277453503, 0.6957873643776032]",COMPLETE
17,0.7128207366431222,2026-08-26 14:04:27.785092,2026-08-26 14:04:27.947141,0 days 00:00:00.162049,0.00012124487282954174,balanced,log_loss,24,0.4,39,39,best,0.7128207366431222,0.00677679792713247,"[0.710095501706581, 0.7125682846035737, 0.7161095444453341, 0.7229430568090084, 0.7023872956511138]",COMPLETE
18,0.641017014984764,2026-08-26 14:04:27.947437,2026-08-26 14:04:27.970005,0 days 00:00:00.022568,0.00022582887117893365,balanced,log_loss,23,0.4,36,38,random,0.641017014984764,0.012252286651470656,"[0.6191616057829125, 0.6557357914782428, 0.6384767583989758, 0.6470837412315412, 0.6446271780321475]",COMPLETE
19,0.7163798953213586,2026-08-26 14:04:27.970264,2026-08-26 14:04:28.066304,0 days 00:00:00.096040,0.00011720400246717735,balanced,log_loss,30,log2,15,60,best,0.7163798953213586,0.018735168794726774,"[0.7131133564026865, 0.6999544729301891, 0.7175702228176274, 0.7001160510980727, 0.7511453733582173]",COMPLETE
20,0.7174201824872711,2026-08-26 14:04:28.066604,2026-08-26 14:04:28.163444,0 days 00:00:00.096840,0.00012625695634811774,balanced,log_loss,30,log2,8,61,best,0.7174201824872711,0.009887024145414942,"[0.7134264288216934, 0.7122472378660012, 0.7139220918631252, 0.7104555522611088, 0.7370496016244269]",COMPLETE
21,0.7132931179610572,2026-08-26 14:04:28.163730,2026-08-26 14:04:28.261877,0 days 00:00:00.098147,0.0001456576587254279,balanced,log_loss,30,log2,11,59,best,0.7132931179610572,0.015254240925047846,"[0.7243983278223638, 0.6956678038112155, 0.7034533377676105, 0.7056800591942359, 0.7372660612098603]",COMPLETE
22,0.7119191364441064,2026-08-26 14:04:28.262162,2026-08-26 14:04:28.361241,0 days 00:00:00.099079,0.0006670043202620436,balanced,log_loss,30,log2,10,60,best,0.7119191364441064,0.0065203930134120815,"[0.7244810283711948, 0.7062994860237225, 0.7092468509777413, 0.7079215455139853, 0.7116467713338879]",COMPLETE
23,0.7181528663677101,2026-08-26 14:04:28.361529,2026-08-26 14:04:28.459349,0 days 00:00:00.097820,8.832709162977383e-05,balanced,log_loss,27,log2,12,63,best,0.7181528663677101,0.013531234839060597,"[0.7188699454414502, 0.6939430369604146, 0.7162513619652024, 0.7296685257446592, 0.732031461726824]",COMPLETE
24,0.7024222179092167,2026-08-26 14:04:28.459645,2026-08-26 14:04:28.555177,0 days 00:00:00.095532,6.359877471168925e-05,balanced,log_loss,26,log2,14,70,best,0.7024222179092167,0.015392556405565885,"[0.715210827828365, 0.6962191167988502, 0.675122621956454, 0.7161573019009438, 0.7094012210614707]",COMPLETE
25,0.7275489254351984,2026-08-26 14:04:28.555461,2026-08-26 14:04:28.658958,0 days 00:00:00.103497,0.000929121784244444,balanced,log_loss,28,log2,4,50,best,0.7275489254351984,0.011146123279946598,"[0.738632063981208, 0.7076176586459711, 0.7239802665039162, 0.736130643333326, 0.7313839947115711]",COMPLETE
26,0.6637715979865761,2026-08-26 14:04:28.659256,2026-08-26 14:04:28.680340,0 days 00:00:00.021084,0.0011289972782743858,balanced,log_loss,27,log2,2,54,random,0.6637715979865761,0.0027249919178316743,"[0.6640251220320388, 0.6679011449508353, 0.6653106771579168, 0.6605805488644619, 0.6610404969276277]",COMPLETE
27,0.6984646207275748,2026-08-26 14:04:28.680589,2026-08-26 14:04:28.780167,0 days 00:00:00.099578,0.0023506076504133115,balanced,log_loss,20,log2,6,47,best,0.6984646207275748,0.009263748987073352,"[0.7155246251854234, 0.6948315229565797, 0.6991076016835827, 0.6949967332072786, 0.6878626206050095]",COMPLETE
28,0.7014861397788359,2026-08-26 14:04:28.780456,2026-08-26 14:04:28.874929,0 days 00:00:00.094473,0.0004991731157925871,balanced,entropy,27,log2,17,68,best,0.7014861397788359,0.01430728203564719,"[0.7038748082874918, 0.6773080467259541, 0.6986494451261785, 0.7216073990871257, 0.7059909996674292]",COMPLETE
29,0.6990885586405406,2026-08-26 14:04:28.875207,2026-08-26 14:04:28.961250,0 days 00:00:00.086043,4.396971508374943e-05,balanced,gini,27,log2,7,86,best,0.6990885586405406,0.01813157656206866,"[0.6881150967341013, 0.6992308599311183, 0.6726826752735894, 0.7258545903307265, 0.7095595709331676]",COMPLETE
30,0.6974430072402062,2026-08-26 14:04:28.961544,2026-08-26 14:04:29.054230,0 days 00:00:00.092686,9.815473246667535e-06,balanced,log_loss,20,log2,30,49,best,0.6974430072402062,0.009075188096891802,"[0.71215251102698, 0.6898322397330768, 0.7006366458395105, 0.6983933800375278, 0.6862002595639355]",COMPLETE
31,0.7074307241903239,2026-08-26 14:04:29.054510,2026-08-26 14:04:29.148552,0 days 00:00:00.094042,7.689603115223e-05,balanced,log_loss,28,log2,14,64,best,0.7074307241903239,0.010539911413087305,"[0.7195000366309757, 0.6965313586596923, 0.6980937296576926, 0.7022823903640556, 0.7207461056392033]",COMPLETE
32,0.6332752910108372,2026-08-26 14:04:29.148852,2026-08-26 14:04:29.514189,0 days 00:00:00.365337,0.008145814427780637,balanced,log_loss,25,0.8,20,56,best,0.6332752910108372,0.012520010947951483,"[0.6435536348057833, 0.6372103068331508, 0.6374337172926957, 0.6086529006882989, 0.6395258954342574]",COMPLETE
33,0.7325026203156291,2026-08-26 14:04:29.514522,2026-08-26 14:04:29.617560,0 days 00:00:00.103038,0.00033887950518049666,balanced,log_loss,29,log2,6,44,best,0.7325026203156291,0.013906465854025227,"[0.7431730519306252, 0.7133803592485725, 0.7249342613573649, 0.752797394164693, 0.7282280348768898]",COMPLETE
34,0.6754371987355676,2026-08-26 14:04:29.617871,2026-08-26 14:04:29.638994,0 days 00:00:00.021123,0.0002850976164068334,balanced,log_loss,28,log2,7,42,random,0.6754371987355676,0.011082246677995337,"[0.678014549266646, 0.6549413313876188, 0.6743190775164103, 0.6865224660834294, 0.6833885694237338]",COMPLETE
