number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
0,0.8357399479313574,2026-08-26 14:05:32.160792,2026-08-26 14:05:40.722351,0 days 00:00:08.561559,True,,log_loss,32.0,0.7,15,3,300,0.8357399479313574,0.007590648962725666,"[0.8393412022238219, 0.8212413282286172, 0.843322168284673, 0.838378742593807, 0.8364162983258678]",COMPLETE
1,0.8185042100691302,2026-08-26 14:05:40.722661,2026-08-26 14:05:45.385488,0 days 00:00:04.662827,True,balanced,gini,16.0,sqrt,13,20,600,0.8185042100691302,0.010534320615535856,"[0.8177672618552098, 0.7984265051562298, 0.823356894639983, 0.8268467598874886, 0.8261236288067394]",COMPLETE
2,0.7616070189226948,2026-08-26 14:05:45.385797,2026-08-26 14:06:00.097052,0 days 00:00:14.711255,True,balanced,entropy,8.0,0.7,15,28,600,0.7616070189226948,0.012808625161050486,"[0.7682859958387596, 0.737920981368324, 0.7626180800685245, 0.7630586822741687, 0.7761513550636971]",COMPLETE
3,0.8211589898301673,2026-08-26 14:06:00.097365,2026-08-26 14:06:11.341764,0 days 00:00:11.244399,False,,log_loss,24.0,sqrt,20,25,800,0.8211589898301673,0.009716496512957716,"[0.8261087975505351, 0.8023127972306021, 0.8301097411502621, 0.8235170119703846, 0.8237466012490523]",COMPLETE
4,0.8042999348777651,2026-08-26 14:06:11.342081,2026-08-26 14:06:20.458020,0 days 00:00:09.115939,True,,entropy,16.0,sqrt,15,31,1000,0.8042999348777651,0.00901242256917275,"[0.8082293527320994, 0.787143674944307, 0.807963195017065, 0.8133939583692537, 0.8047694933260999]",COMPLETE
5,0.8800443502340224,2026-08-26 14:06:20.458337,2026-08-26 14:06:34.703234,0 days 00:00:14.244897,False,balanced,gini,48.0,0.3,3,18,800,0.8800443502340224,0.007009609108671959,"[0.8791112797192197, 0.8671082355555133, 0.8871715923456293, 0.8848179866216602, 0.8820126569280896]",COMPLETE
6,0.856957075286575,2026-08-26 14:06:34.703553,2026-08-26 14:06:44.512467,0 days 00:00:09.808914,True,balanced,entropy,48.0,0.5,1,34,400,0.856957075286575,0.010156563247861884,"[0.8533463812580756, 0.8385967580578305, 0.8647041983516703, 0.8625751801184703, 0.8655628586468289]",COMPLETE
7,0.8549673549939657,2026-08-26 14:06:44.512759,2026-08-26 14:07:05.605842,0 days 00:00:21.093083,False,balanced,log_loss,32.0,0.3,15,19,1000,0.8549673549939657,0.009383883680895575,"[0.8583976727856238, 0.8363264393164919, 0.8594354280003453, 0.861636875969848, 0.8590403588975194]",COMPLETE
8,0.7702325867740885,2026-08-26 14:07:05.606178,2026-08-26 14:07:51.549178,0 days 00:00:45.943000,False,balanced_subsample,gini,24.0,1.0,19,40,900,0.7702325867740885,0.00770060307219994,"[0.780563162604181, 0.7782333893407989, 0.7612517984192908, 0.7663914000028376, 0.7647231835033339]",COMPLETE
9,0.8956610039917106,2026-08-26 14:07:51.549496,2026-08-26 14:08:05.965640,0 days 00:00:14.416144,False,balanced_subsample,log_loss,,0.3,1,10,600,0.8956610039917106,0.00926910460265808,"[0.8946819360704499, 0.8793930261727602, 0.9077336297854547, 0.8998038842249622, 0.8966925437049253]",COMPLETE
10,0.873632696321095,2026-08-26 14:08:05.965958,2026-08-26 14:08:13.760824,0 days 00:00:07.794866,False,balanced_subsample,log_loss,,log2,7,2,500,0.873632696321095,0.008922337114634828,"[0.8816369254829935, 0.856807086687132, 0.8804857409367243, 0.8736243219631632, 0.8756094065354612]",COMPLETE
11,0.8900688913605356,2026-08-26 14:08:13.761133,2026-08-26 14:08:26.913777,0 days 00:00:13.152644,False,balanced_subsample,gini,48.0,0.3,1,12,700,0.8900688913605356,0.006632672216436086,"[0.8930291781324501, 0.8771947163442229, 0.8960571122418037, 0.8910596648369261, 0.8930037852472746]",COMPLETE
12,0.861304660215426,2026-08-26 14:08:26.914104,2026-08-26 14:08:38.377279,0 days 00:00:11.463175,False,balanced_subsample,gini,12.0,0.3,5,11,700,0.861304660215426,0.007297015618977441,"[0.8627522748412025, 0.8477620682261765, 0.8623870599899531, 0.863734849452196, 0.8698870485676009]",COMPLETE
13,0.8945006691068176,2026-08-26 14:08:38.377595,2026-08-26 14:08:52.719036,0 days 00:00:14.341441,False,balanced_subsample,log_loss,,0.3,1,11,600,0.8945006691068176,0.008975583445287826,"[0.8973502410010944, 0.8768114737625715, 0.9017070404733615, 0.8977203269534085, 0.8989142633436519]",COMPLETE
14,0.8775171632323225,2026-08-26 14:08:52.719347,2026-08-26 14:09:03.754519,0 days 00:00:11.035172,False,balanced_subsample,log_loss,,0.3,8,9,500,0.8775171632323225,0.008942889400853088,"[0.8851571094386647, 0.8609931142407312, 0.8841227621507977, 0.8753222245547868, 0.8819906057766321]",COMPLETE
15,0.8971446978109519,2026-08-26 14:09:03.754832,2026-08-26 14:09:23.954575,0 days 00:00:20.199743,False,balanced_subsample,log_loss,,0.5,4,7,500,0.8971446978109519,0.008315719266679285,"[0.8945965422087259, 0.882180768248059, 0.9059119810374526, 0.9018653903450584, 0.9011688072154637]",COMPLETE
16,0.8782034068750718,2026-08-26 14:09:23.954880,2026-08-26 14:09:35.641426,0 days 00:00:11.686546,False,balanced_subsample,log_loss,,0.5,9,6,300,0.8782034068750718,0.006827804002556851,"[0.8768772174822796, 0.8656106671705706, 0.883722691260073, 0.8842766152227973, 0.8805298432396388]",COMPLETE
