number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
0,0.6619962312741732,2026-08-26 17:27:00.166722,2026-08-26 17:27:00.750135,0 days 00:00:00.583413,1.3480180290890803e-07,balanced,log_loss,12,0.6,59,96,best,0.6619962312741732,0.008701172058449374,"[0.6698002257935322, 0.652329498966672, 0.6734587141435918, 0.6620305011417685, 0.6523622163253012]",COMPLETE
1,0.5619441932793402,2026-08-26 17:27:00.750443,2026-08-26 17:27:00.812095,0 days 00:00:00.061652,0.0043873144324354085,,log_loss,17,0.8,24,44,random,0.5619441932793402,0.00943598858793548,"[0.5702231553290747, 0.5497104008961492, 0.5649161226945555, 0.5728679757621674, 0.5520033117147539]",COMPLETE
2,0.516079875233379,2026-08-26 17:27:00.812409,2026-08-26 17:27:00.839842,0 days 00:00:00.027433,0.006124806805925988,,gini,30,sqrt,25,82,random,0.516079875233379,0.024923613770630695,"[0.5578677859367359, 0.48766802318411645, 0.5253867525552581, 0.5149509985274169, 0.4945258159633674]",COMPLETE
3,0.6269222657957375,2026-08-26 17:27:00.840152,2026-08-26 17:27:01.036075,0 days 00:00:00.195923,0.00041245717727594227,,log_loss,24,sqrt,72,95,best,0.6269222657957375,0.004817063667503303,"[0.6312581441634816, 0.6288907749559313, 0.6299061780259502, 0.6268226540644842, 0.6177335777688401]",COMPLETE
4,0.5705642123292936,2026-08-26 17:27:01.036371,2026-08-26 17:27:01.139007,0 days 00:00:00.102636,1.5027137214154575e-07,,entropy,4,log2,62,99,best,0.5705642123292936,0.010222470207073068,"[0.5792335695498676, 0.5666225578963404, 0.5783388241169324, 0.5764209361128475, 0.5522051739704795]",COMPLETE
5,0.664690325045893,2026-08-26 17:27:01.139322,2026-08-26 17:27:01.975517,0 days 00:00:00.836195,2.8501838758433707e-05,,gini,11,,52,74,best,0.664690325045893,0.016125876352566158,"[0.6804815006984938, 0.6696431057186393, 0.6731842669463526, 0.6663002665369087, 0.6338424853290706]",COMPLETE
6,0.5648354699595763,2026-08-26 17:27:01.975867,2026-08-26 17:27:01.997845,0 days 00:00:00.021978,0.0017697543538533224,,entropy,11,log2,73,52,random,0.5648354699595763,0.00860114763627452,"[0.5608109591949013, 0.5790369222440227, 0.5589787817345347, 0.5700369898057587, 0.5553136968186644]",COMPLETE
7,0.6617207930151341,2026-08-26 17:27:01.998132,2026-08-26 17:27:02.758502,0 days 00:00:00.760370,1.8298712093870903e-07,balanced,entropy,17,0.8,72,81,best,0.6617207930151341,0.00905836224032128,"[0.6615161077379528, 0.661366543385078, 0.6656206068877814, 0.6740022881500592, 0.646098418914799]",COMPLETE
8,0.6493424182256381,2026-08-26 17:27:02.758812,2026-08-26 17:27:02.825660,0 days 00:00:00.066848,1.0333896431462928e-08,,entropy,17,,30,71,random,0.6493424182256381,0.010596976198157615,"[0.6649997079268649, 0.6510548268998976, 0.6471750610219893, 0.6515683385791856, 0.6319141567002527]",COMPLETE
9,0.6604681472639894,2026-08-26 17:27:02.825957,2026-08-26 17:27:03.016520,0 days 00:00:00.190563,1.3685182782317289e-05,,gini,16,sqrt,20,99,best,0.6604681472639894,0.005312599936716472,"[0.6620887085289556, 0.6562784919252278, 0.6638669954017578, 0.6674371291553549, 0.6526694113086512]",COMPLETE
10,0.564195943824752,2026-08-26 17:27:03.016824,2026-08-26 17:27:03.253913,0 days 00:00:00.237089,2.336601710098664e-05,balanced,gini,2,,1,2,best,0.564195943824752,0.004954998926408174,"[0.5667978246851051, 0.5577329741406464, 0.5658863818626768, 0.5711552315718745, 0.5594073068634573]",COMPLETE
11,0.6465640192604003,2026-08-26 17:27:03.254215,2026-08-26 17:27:03.825554,0 days 00:00:00.571339,1.7325819024028384e-06,balanced,log_loss,10,0.6,50,59,best,0.6465640192604003,0.005807519095256744,"[0.6450806560917103, 0.6394867263259453, 0.6452463928911624, 0.6457663679655891, 0.6572399530275946]",COMPLETE
12,0.6683062262478322,2026-08-26 17:27:03.825873,2026-08-26 17:27:04.432321,0 days 00:00:00.606448,3.1205813623082966e-09,balanced,log_loss,12,0.6,48,35,best,0.6683062262478322,0.010532888898528058,"[0.668168140204268, 0.662114143708382, 0.6763888906167255, 0.6824213542886248, 0.6524386024211611]",COMPLETE
13,0.6032990923286663,2026-08-26 17:27:04.432627,2026-08-26 17:27:04.669649,0 days 00:00:00.237022,1.090860668147555e-09,balanced,gini,6,0.4,42,22,best,0.6032990923286663,0.0072557614940786325,"[0.6099897488056499, 0.6000414476595397, 0.6119384961212991, 0.5917700558262022, 0.6027557132306404]",COMPLETE
14,0.6233850124961134,2026-08-26 17:27:04.669951,2026-08-26 17:27:05.538052,0 days 00:00:00.868101,0.00014678727050247952,balanced,log_loss,8,,42,34,best,0.6233850124961134,0.005779317323744491,"[0.6135477379222033, 0.6304522590234373, 0.6277180551496544, 0.6229828685764874, 0.6222241418087848]",COMPLETE
15,0.6730028488913344,2026-08-26 17:27:05.538412,2026-08-26 17:27:06.078982,0 days 00:00:00.540570,1.0921296040492856e-09,balanced,gini,23,0.6,54,17,best,0.6730028488913344,0.00533676983828591,"[0.6741607402545885, 0.6717097121380631, 0.6825892621291162, 0.669467021424381, 0.6670875085105236]",COMPLETE
16,0.6984053151380759,2026-08-26 17:27:06.079309,2026-08-26 17:27:06.663092,0 days 00:00:00.583783,1.0986475105496506e-09,balanced,gini,24,0.6,37,16,best,0.6984053151380759,0.011606637311858363,"[0.7005730856705865, 0.6812832548172024, 0.7055368474404556, 0.714446192003614, 0.6901871957585207]",COMPLETE
17,0.6999427817830417,2026-08-26 17:27:06.663412,2026-08-26 17:27:07.269286,0 days 00:00:00.605874,1.4089758776600013e-08,balanced,gini,24,0.6,34,8,best,0.6999427817830417,0.014042780421920746,"[0.6920555878172286, 0.6945059554284941, 0.7203093960206592, 0.7114985113943627, 0.6813444582544638]",COMPLETE
18,0.6873308607216103,2026-08-26 17:27:07.269604,2026-08-26 17:27:07.338129,0 days 00:00:00.068525,1.9728850017588817e-08,balanced,gini,26,0.6,10,4,random,0.6873308607216103,0.011450348633684944,"[0.6900104726354197, 0.6695098172843919, 0.7053974727836665, 0.6860937676497451, 0.6856427732548284]",COMPLETE
19,0.6959586971927869,2026-08-26 17:27:07.338437,2026-08-26 17:27:07.919621,0 days 00:00:00.581184,2.093549252656041e-08,balanced,gini,20,0.6,35,16,best,0.6959586971927869,0.009401604504919916,"[0.6925749931181461, 0.6917717461811915, 0.713305800215806, 0.696738778697588, 0.6854021677512024]",COMPLETE
20,0.6823939483047685,2026-08-26 17:27:07.919957,2026-08-26 17:27:08.293043,0 days 00:00:00.373086,1.0601682115021286e-06,balanced,gini,30,0.4,37,27,best,0.6823939483047685,0.004644900584743346,"[0.6843215255609808, 0.6818427218619987, 0.6795580133426404, 0.6900066315771439, 0.6762408491810793]",COMPLETE
21,0.6999427817830417,2026-08-26 17:27:08.293362,2026-08-26 17:27:08.892331,0 days 00:00:00.598969,2.1617327577514438e-08,balanced,gini,21,0.6,34,14,best,0.6999427817830417,0.014042780421920746,"[0.6920555878172286, 0.6945059554284941, 0.7203093960206592, 0.7114985113943627, 0.6813444582544638]",COMPLETE
22,0.7287657278546156,2026-08-26 17:27:08.892663,2026-08-26 17:27:09.533693,0 days 00:00:00.641030,6.55410283740987e-09,balanced,gini,21,0.6,16,11,best,0.7287657278546156,0.006828237765430799,"[0.7273536074086545, 0.723113938684495, 0.7392157688735254, 0.7335630800786274, 0.7205822442277757]",COMPLETE
23,0.7404346837478941,2026-08-26 17:27:09.534021,2026-08-26 17:27:10.190944,0 days 00:00:00.656923,5.4428421410715603e-08,balanced,gini,21,0.6,11,9,best,0.7404346837478941,0.006500205217714749,"[0.7460690621245285, 0.7403838070072354, 0.7490235589979454, 0.7349790810688716, 0.7317179095408893]",COMPLETE
24,0.7353714416142523,2026-08-26 17:27:10.191279,2026-08-26 17:27:10.851982,0 days 00:00:00.660703,7.732586727170022e-08,balanced,gini,27,0.6,14,8,best,0.7353714416142523,0.007421877934763111,"[0.7454302733613648, 0.7381088627206632, 0.7397193485490946, 0.7274635860133299, 0.7261351374268088]",COMPLETE
25,0.7371035219628733,2026-08-26 17:27:10.852299,2026-08-26 17:27:11.507176,0 days 00:00:00.654877,7.905028841941448e-07,balanced,gini,28,0.6,12,27,best,0.7371035219628733,0.005070156131417337,"[0.7403315698224691, 0.7363174884612022, 0.7449241685129372, 0.7333269345505573, 0.7306174484672009]",COMPLETE
26,0.6841225114578585,2026-08-26 17:27:11.507504,2026-08-26 17:27:11.574488,0 days 00:00:00.066984,9.074485441224073e-07,balanced,gini,27,0.6,7,30,random,0.6841225114578585,0.010669826190151457,"[0.690833420191684, 0.671419696877719, 0.700668231429158, 0.6829306879127518, 0.6747605208779798]",COMPLETE
27,0.7165790238411562,2026-08-26 17:27:11.574800,2026-08-26 17:27:11.987524,0 days 00:00:00.412724,4.213211049589255e-06,balanced,gini,28,0.4,13,39,best,0.7165790238411562,0.010267988893540374,"[0.7317799165930756, 0.7064252653570336, 0.7140715922077842, 0.7248872665318459, 0.7057310785160422]",COMPLETE
28,0.7173468767331077,2026-08-26 17:27:11.987822,2026-08-26 17:27:12.230472,0 days 00:00:00.242650,8.66490174097436e-08,balanced,gini,28,log2,2,24,best,0.7173468767331077,0.009717045129330604,"[0.7247771787415046, 0.7028946433023431, 0.723902838204998, 0.7266611390506496, 0.7084985843660433]",COMPLETE
29,0.7186586537067041,2026-08-26 17:27:12.230775,2026-08-26 17:27:12.950492,0 days 00:00:00.719717,3.320972037490993e-07,balanced,entropy,25,0.6,19,21,best,0.7186586537067041,0.008668626164400206,"[0.7185182232637589, 0.7223279106996889, 0.731013213521832, 0.7171770727856286, 0.7042568482626121]",COMPLETE
30,0.7552368922136192,2026-08-26 17:27:12.950834,2026-08-26 17:27:13.846579,0 days 00:00:00.895745,7.128865133257722e-08,balanced,gini,19,0.8,8,9,best,0.7552368922136192,0.010627118129341712,"[0.7670169482595304, 0.7473824291092686, 0.7689799380645611, 0.7495053280382532, 0.7432998175964832]",COMPLETE
31,0.7308982581941339,2026-08-26 17:27:13.846914,2026-08-26 17:27:14.693919,0 days 00:00:00.847005,6.04357952322774e-08,balanced,gini,14,0.8,7,7,best,0.7308982581941339,0.006779509935736565,"[0.7350957446280497, 0.7313812157649243, 0.7406840012107105, 0.7212609408366122, 0.7260693885303725]",COMPLETE
32,0.7392498286478901,2026-08-26 17:27:14.694247,2026-08-26 17:27:15.558449,0 days 00:00:00.864202,4.875432752004201e-08,balanced,gini,20,0.8,13,2,best,0.7392498286478901,0.013678156041123796,"[0.7405700236751048, 0.7495030175163704, 0.7564360438661007, 0.7326051988505835, 0.7171348593312906]",COMPLETE
33,0.736763497148749,2026-08-26 17:27:15.558772,2026-08-26 17:27:16.437250,0 days 00:00:00.878478,3.5260685016505627e-07,balanced,gini,19,0.8,6,43,best,0.736763497148749,0.01097928967535654,"[0.7343628815897331, 0.7279065228521459, 0.7565021538704694, 0.7393397167313402, 0.7257062107000568]",COMPLETE
34,0.6470278639488989,2026-08-26 17:27:16.437611,2026-08-26 17:27:16.502950,0 days 00:00:00.065339,4.7476978002386736e-08,balanced,gini,14,0.8,25,10,random,0.6470278639488989,0.005991380884630821,"[0.6560702495068164, 0.6503617736207944, 0.6477615301019216, 0.6407275639314554, 0.6402182025835067]",COMPLETE
35,0.7247212010132739,2026-08-26 17:27:16.503264,2026-08-26 17:27:17.417041,0 days 00:00:00.913777,4.884369583074042e-06,balanced,log_loss,22,0.8,21,2,best,0.7247212010132739,0.010216052618505191,"[0.7257010347024883, 0.7210979353674604, 0.7373856555279534, 0.7318998585494669, 0.7075215209190002]",COMPLETE
