number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
0,0.8141195825859597,2026-08-26 17:30:08.229496,2026-08-26 17:30:29.898947,0 days 00:00:21.669451,True,,log_loss,32.0,0.7,15,3,300,0.8141195825859597,0.0043469837356829594,"[0.8109164071415509, 0.8127686127900544, 0.8214741672169193, 0.8162111203414106, 0.8092276054398638]",COMPLETE
1,0.7836056531618627,2026-08-26 17:30:29.899265,2026-08-26 17:30:40.431261,0 days 00:00:10.531996,True,balanced,gini,16.0,sqrt,13,20,600,0.7836056531618627,0.006644086500506813,"[0.7816967349277854, 0.780355748896517, 0.7908848674631087, 0.7912425426644845, 0.7738483718574183]",COMPLETE
2,0.6862657842469728,2026-08-26 17:30:40.431582,2026-08-26 17:31:14.460630,0 days 00:00:34.029048,True,balanced,entropy,8.0,0.7,15,28,600,0.6862657842469728,0.0036167712829882517,"[0.6896484393940608, 0.6874845058065283, 0.6867626457111954, 0.6881458099404633, 0.6792875203826164]",COMPLETE
3,0.7989511161882068,2026-08-26 17:31:14.460969,2026-08-26 17:31:41.721005,0 days 00:00:27.260036,False,,log_loss,24.0,sqrt,20,25,800,0.7989511161882068,0.007833310631222244,"[0.803231707154112, 0.7949648385942768, 0.8096610991053161, 0.800425317614145, 0.7864726184731841]",COMPLETE
4,0.7811786346063421,2026-08-26 17:31:41.721317,2026-08-26 17:32:03.061420,0 days 00:00:21.340103,True,,entropy,16.0,sqrt,15,31,1000,0.7811786346063421,0.006349428728060226,"[0.784153795404487, 0.7799082508560797, 0.7871834340898038, 0.7852401070498973, 0.7694075856314422]",COMPLETE
5,0.8538842367764268,2026-08-26 17:32:03.061736,2026-08-26 17:32:38.008064,0 days 00:00:34.946328,False,balanced,gini,48.0,0.3,3,18,800,0.8538842367764268,0.006217589864847994,"[0.8515658021683663, 0.8542391647548285, 0.8636592513484836, 0.8555341226281729, 0.844422842982282]",COMPLETE
6,0.8268617427423475,2026-08-26 17:32:38.008381,2026-08-26 17:33:02.677254,0 days 00:00:24.668873,True,balanced,entropy,48.0,0.5,1,34,400,0.8268617427423475,0.005034252298524749,"[0.8248513118665306, 0.8244158480028497, 0.8361473843563635, 0.8275138388048072, 0.821380330681186]",COMPLETE
7,0.8254889680498815,2026-08-26 17:33:02.677575,2026-08-26 17:33:54.582613,0 days 00:00:51.905038,False,balanced,log_loss,32.0,0.3,15,19,1000,0.8254889680498815,0.007438402124273667,"[0.8209054610803957, 0.8203371020312638, 0.8396798909432275, 0.8262436934036254, 0.8202786927908949]",COMPLETE
8,0.7361951658601475,2026-08-26 17:33:54.582911,2026-08-26 17:35:57.513603,0 days 00:02:02.930692,False,balanced_subsample,gini,24.0,1.0,19,40,900,0.7361951658601475,0.01109477943934743,"[0.737332669773714, 0.7318596162884415, 0.7544779681258041, 0.7372360255572143, 0.7200695495555638]",COMPLETE
9,0.871683704457389,2026-08-26 17:35:57.513925,2026-08-26 17:36:33.291868,0 days 00:00:35.777943,False,balanced_subsample,log_loss,,0.3,1,10,600,0.871683704457389,0.006630144732755781,"[0.8670588120755633, 0.8707719588409774, 0.8833466970111851, 0.8732455504711085, 0.8639955038881103]",COMPLETE
10,0.8440668810093032,2026-08-26 17:36:33.292187,2026-08-26 17:36:52.568821,0 days 00:00:19.276634,False,balanced_subsample,log_loss,,log2,7,2,500,0.8440668810093032,0.007347610155993733,"[0.8405269877485818, 0.8384334686032834, 0.8569096942660376, 0.8474282892626287, 0.8370359651659841]",COMPLETE
