number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
0,0.6553585863540555,2026-08-26 23:52:31.755229,2026-08-26 23:52:32.367926,0 days 00:00:00.612697,1.3480180290890803e-07,balanced,log_loss,12,0.6,59,96,best,0.6553585863540555,0.010015641619914722,"[0.6590113845747602, 0.6435412418540537, 0.6695491172385246, 0.6443129915029185, 0.6603781966000207]",COMPLETE
1,0.5548661393778292,2026-08-26 23:52:32.368276,2026-08-26 23:52:32.450788,0 days 00:00:00.082512,0.0043873144324354085,,log_loss,17,0.8,24,44,random,0.5548661393778292,0.020893520230539094,"[0.5694197466718363, 0.5141956624155252, 0.5589302079772791, 0.5712367463752436, 0.560548333449262]",COMPLETE
2,0.5072259363337743,2026-08-26 23:52:32.451124,2026-08-26 23:52:32.481548,0 days 00:00:00.030424,0.006124806805925988,,gini,30,sqrt,25,82,random,0.5072259363337743,0.015877655961483376,"[0.49481612031683836, 0.5039499587908628, 0.5362755835702937, 0.4915277482245924, 0.5095602707662845]",COMPLETE
3,0.6262011315441411,2026-08-26 23:52:32.481888,2026-08-26 23:52:32.691250,0 days 00:00:00.209362,0.00041245717727594227,,log_loss,24,sqrt,72,95,best,0.6262011315441411,0.009025647119994594,"[0.6273111698462425, 0.6416407969244166, 0.6135490728080137, 0.6241390190441006, 0.6243655990979323]",COMPLETE
4,0.5681685851061552,2026-08-26 23:52:32.691572,2026-08-26 23:52:32.799721,0 days 00:00:00.108149,1.5027137214154575e-07,,entropy,4,log2,62,99,best,0.5681685851061552,0.0049851556688888556,"[0.5749024993556228, 0.5604591587192195, 0.5695415076598427, 0.5709291150207272, 0.5650106447753637]",COMPLETE
5,0.6558043406956037,2026-08-26 23:52:32.800050,2026-08-26 23:52:33.673830,0 days 00:00:00.873780,2.8501838758433707e-05,,gini,11,,52,74,best,0.6558043406956037,0.008260266409982156,"[0.6593503161253905, 0.6682211039929399, 0.6514482060131472, 0.6566372090746441, 0.6433648682718968]",COMPLETE
6,0.5610270892672088,2026-08-26 23:52:33.674174,2026-08-26 23:52:33.698938,0 days 00:00:00.024764,0.0017697543538533224,,entropy,11,log2,73,52,random,0.5610270892672088,0.006209252374752719,"[0.5627334597958386, 0.5549404554780276, 0.5609119579733234, 0.5717216120631479, 0.5548279610257065]",COMPLETE
7,0.6587416876955358,2026-08-26 23:52:33.699322,2026-08-26 23:52:34.489023,0 days 00:00:00.789701,1.8298712093870903e-07,balanced,entropy,17,0.8,72,81,best,0.6587416876955358,0.0036466810988016332,"[0.653609190903131, 0.6641298979408004, 0.6605095949122274, 0.656006063859157, 0.6594536908623629]",COMPLETE
8,0.653221331056351,2026-08-26 23:52:34.489376,2026-08-26 23:52:34.563209,0 days 00:00:00.073833,1.0333896431462928e-08,,entropy,17,,30,71,random,0.653221331056351,0.00966221158986264,"[0.6629958498484569, 0.6597071898768134, 0.6578597407809202, 0.6360902616651154, 0.6494536131104494]",COMPLETE
9,0.6557280847616954,2026-08-26 23:52:34.563530,2026-08-26 23:52:34.768096,0 days 00:00:00.204566,1.3685182782317289e-05,,gini,16,sqrt,20,99,best,0.6557280847616954,0.005024720795694991,"[0.6493017371948103, 0.6608493039574977, 0.6541809060082988, 0.6520428453528143, 0.6622656312950558]",COMPLETE
10,0.5596050112696085,2026-08-26 23:52:34.768408,2026-08-26 23:52:34.928605,0 days 00:00:00.160197,1.3381271619726983e-09,balanced,entropy,3,0.4,1,2,best,0.5596050112696085,0.004943295062673638,"[0.5642905566734201, 0.5534408410214846, 0.5649106351765626, 0.5613491676713585, 0.5540338558052166]",COMPLETE
11,0.6336044652635934,2026-08-26 23:52:34.928944,2026-08-26 23:52:35.786158,0 days 00:00:00.857214,7.780462950625712e-06,balanced,gini,9,,46,65,best,0.6336044652635934,0.005555194258250174,"[0.6355028902709322, 0.6404380998325842, 0.6242113821213617, 0.6367233323242366, 0.6311466217688522]",COMPLETE
12,0.6808379096104638,2026-08-26 23:52:35.786523,2026-08-26 23:52:36.542982,0 days 00:00:00.756459,5.88256804402977e-06,balanced,gini,22,0.8,47,41,best,0.6808379096104638,0.004513691188252586,"[0.6789347445460598, 0.6887064886609261, 0.6765750013717398, 0.6828770561570469, 0.677096257316546]",COMPLETE
13,0.6515428179546873,2026-08-26 23:52:36.543295,2026-08-26 23:52:37.248988,0 days 00:00:00.705693,7.808721364002951e-07,balanced,gini,22,0.8,80,24,best,0.6515428179546873,0.010474481208760208,"[0.6524708926814249, 0.6370292958696495, 0.6579086666125351, 0.6435232405993531, 0.6667819940104737]",COMPLETE
14,0.686856353030452,2026-08-26 23:52:37.249304,2026-08-26 23:52:38.152513,0 days 00:00:00.903209,8.169966361917122e-07,balanced,entropy,24,0.8,40,34,best,0.686856353030452,0.009686804213198091,"[0.6863328959948909, 0.7015083007812418, 0.68916610720458, 0.686179590538006, 0.6710948706335413]",COMPLETE
