number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
0,0.8079387017336854,2026-08-26 23:55:50.742990,2026-08-26 23:56:13.386632,0 days 00:00:22.643642,True,,log_loss,32.0,0.7,15,3,300,0.8079387017336854,0.005563415132879258,"[0.8032600024493286, 0.8180579764910441, 0.8079150737709752, 0.8080405458120009, 0.8024199101450781]",COMPLETE
1,0.7797815416509644,2026-08-26 23:56:13.386955,2026-08-26 23:56:24.328505,0 days 00:00:10.941550,True,balanced,gini,16.0,sqrt,13,20,600,0.7797815416509644,0.003731797684575424,"[0.7801671645090825, 0.7865784951326579, 0.7755781870002441, 0.77752439679548, 0.7790594648173571]",COMPLETE
2,0.6869162115321914,2026-08-26 23:56:24.328803,2026-08-26 23:56:59.459271,0 days 00:00:35.130468,True,balanced,entropy,8.0,0.7,15,28,600,0.6869162115321914,0.007227010840945487,"[0.6819613475585481, 0.6913800717714406, 0.6807549802378766, 0.6990906287911924, 0.6813940293018993]",COMPLETE
3,0.7922159070523682,2026-08-26 23:56:59.459573,2026-08-26 23:57:27.730760,0 days 00:00:28.271187,False,,log_loss,24.0,sqrt,20,25,800,0.7922159070523682,0.003970346284589914,"[0.7911165215247707, 0.7996550235540877, 0.7924668812457552, 0.7894142445966685, 0.7884268643405589]",COMPLETE
4,0.7757903459100138,2026-08-26 23:57:27.731081,2026-08-26 23:57:49.985612,0 days 00:00:22.254531,True,,entropy,16.0,sqrt,15,31,1000,0.7757903459100138,0.004089591906024426,"[0.7750072950219485, 0.7820962042549239, 0.7752191447352678, 0.7693991041944724, 0.7772299813434563]",COMPLETE
5,0.8485377988444963,2026-08-26 23:57:49.985922,2026-08-26 23:58:26.392594,0 days 00:00:36.406672,False,balanced,gini,48.0,0.3,3,18,800,0.8485377988444963,0.0036877419782015293,"[0.8482865744301522, 0.8555838910904338, 0.8475833568378631, 0.8460178535873851, 0.8452173182766473]",COMPLETE
6,0.8211442723800781,2026-08-26 23:58:26.392901,2026-08-26 23:58:51.602729,0 days 00:00:25.209828,True,balanced,entropy,48.0,0.5,1,34,400,0.8211442723800781,0.003961625794451061,"[0.8233644988031434, 0.8276291217487532, 0.8201903460412359, 0.8177881125127245, 0.8167492827945336]",COMPLETE
7,0.8200060537421251,2026-08-26 23:58:51.603040,2026-08-26 23:59:44.798749,0 days 00:00:53.195709,False,balanced,log_loss,32.0,0.3,15,19,1000,0.8200060537421251,0.004690992946964311,"[0.8220800711079611, 0.8278888494990294, 0.8188294596847352, 0.8169680832869549, 0.8142638051319451]",COMPLETE
8,0.7218438484098519,2026-08-26 23:59:44.799070,2026-08-27 00:01:50.712332,0 days 00:02:05.913262,False,balanced_subsample,gini,24.0,1.0,19,40,900,0.7218438484098519,0.007260618801556251,"[0.7171694517301943, 0.7274453195705193, 0.7310569441781581, 0.7106883790144005, 0.7228591475559875]",COMPLETE
9,0.8617510634496609,2026-08-27 00:01:50.712647,2026-08-27 00:02:27.486537,0 days 00:00:36.773890,False,balanced_subsample,log_loss,,0.3,1,10,600,0.8617510634496609,0.004454306646660715,"[0.8669205897786396, 0.8667957600775854, 0.8598121866306325, 0.859738402358154, 0.855488378403293]",COMPLETE
10,0.8371053069360942,2026-08-27 00:02:27.486868,2026-08-27 00:02:47.249577,0 days 00:00:19.762709,False,balanced_subsample,log_loss,,log2,7,2,500,0.8371053069360942,0.003459276792913207,"[0.839354632384373, 0.8409708649234909, 0.838692081407962, 0.8352109231817527, 0.8312980327828917]",COMPLETE
11,0.8573333470952615,2026-08-27 00:02:47.249905,2026-08-27 00:03:20.947675,0 days 00:00:33.697770,False,balanced_subsample,gini,48.0,0.3,1,12,700,0.8573333470952615,0.005307341387291998,"[0.86003641119405, 0.8665194876955113, 0.8522187724574719, 0.8538029439839135, 0.8540891201453613]",COMPLETE
12,0.7984065704508485,2026-08-27 00:03:20.947992,2026-08-27 00:03:48.281277,0 days 00:00:27.333285,False,balanced_subsample,gini,12.0,0.3,5,11,700,0.7984065704508485,0.007595114228848656,"[0.7928366119332536, 0.8122235211266157, 0.7907064912442779, 0.8000113392286066, 0.7962548887214892]",COMPLETE
13,0.8608149862464064,2026-08-27 00:03:48.281602,2026-08-27 00:04:24.969433,0 days 00:00:36.687831,False,balanced_subsample,log_loss,,0.3,1,11,600,0.8608149862464064,0.004863503006041649,"[0.8639794247154674, 0.8679915236901184, 0.8603920491634843, 0.857778117196578, 0.8539338164663842]",COMPLETE
14,0.843778998222659,2026-08-27 00:04:24.969738,2026-08-27 00:04:53.282318,0 days 00:00:28.312580,False,balanced_subsample,log_loss,,0.3,8,9,500,0.843778998222659,0.004371861267691852,"[0.8461474441044693, 0.85111949678126, 0.8414965849217143, 0.8387836821709297, 0.841347783134922]",COMPLETE
15,0.8651108493569024,2026-08-27 00:04:53.282634,2026-08-27 00:05:45.898410,0 days 00:00:52.615776,False,balanced_subsample,log_loss,,0.5,4,7,500,0.8651108493569024,0.0025411812914571024,"[0.8654755403369631, 0.869740120925381, 0.8625462494793483, 0.8646697257080298, 0.8631226103347899]",COMPLETE
16,0.8472248494562462,2026-08-27 00:05:45.898744,2026-08-27 00:06:16.194356,0 days 00:00:30.295612,False,balanced_subsample,log_loss,,0.5,9,6,300,0.8472248494562462,0.003978260240296639,"[0.8484802007258588, 0.8543567170001195, 0.8434870947780359, 0.8458783205416053, 0.8439219142356119]",COMPLETE
17,0.8569981895822728,2026-08-27 00:06:16.194670,2026-08-27 00:06:58.188255,0 days 00:00:41.993585,False,balanced_subsample,log_loss,,0.5,4,16,400,0.8569981895822728,0.0029017281389578983,"[0.8608308262220653, 0.8592491575881601, 0.8541793041204375, 0.85749525003631, 0.8532364099443915]",COMPLETE
18,0.676447676465042,2026-08-27 00:06:58.188580,2026-08-27 00:07:11.397761,0 days 00:00:13.209181,False,balanced_subsample,log_loss,8.0,log2,6,7,500,0.676447676465042,0.009034417296749487,"[0.6758282222460128, 0.677620520094771, 0.6632071805770082, 0.6914674076354114, 0.6741150517720067]",COMPLETE
19,0.7136584571040443,2026-08-27 00:07:11.398092,2026-08-27 00:08:22.970205,0 days 00:01:11.572113,False,balanced_subsample,log_loss,12.0,1.0,10,15,400,0.7136584571040443,0.010701892206874394,"[0.7158194882891232, 0.731919385947947, 0.7052430566538769, 0.714423604193032, 0.7008867504362427]",COMPLETE
20,0.8689628538531503,2026-08-27 00:08:22.970523,2026-08-27 00:09:35.914212,0 days 00:01:12.943689,False,,entropy,,0.5,3,5,700,0.8689628538531503,0.0024451060790409945,"[0.8714117241393543, 0.8705285179571144, 0.8647075765019071, 0.8703693211701372, 0.8677971294972385]",COMPLETE
21,0.8689628538531503,2026-08-27 00:09:35.914525,2026-08-27 00:10:48.749776,0 days 00:01:12.835251,False,,entropy,,0.5,3,5,700,0.8689628538531503,0.0024451060790409945,"[0.8714117241393543, 0.8705285179571144, 0.8647075765019071, 0.8703693211701372, 0.8677971294972385]",COMPLETE
22,0.8689628538531503,2026-08-27 00:10:48.750100,2026-08-27 00:12:01.857265,0 days 00:01:13.107165,False,,entropy,,0.5,3,5,700,0.8689628538531503,0.0024451060790409945,"[0.8714117241393543, 0.8705285179571144, 0.8647075765019071, 0.8703693211701372, 0.8677971294972385]",COMPLETE
