number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_best_iterations,user_attrs_fold_scores,state
0,0.8309371670651698,2026-08-27 04:40:57.166060,2026-08-27 04:41:15.575840,0 days 00:00:18.409780,0.7442003345025142,1.8277151418544553,0.019677977348166304,9,2.1771032186203514,8.665537597324885e-06,1.0311514495138399,0.8978561926718072,0.8309371670651698,0.004207320002884028,"[1477, 1498, 1497, 1495, 1499]","[0.8255198849020428, 0.837695149877347, 0.8320605462241454, 0.827561228268515, 0.8318490260537992]",COMPLETE
1,0.8499635522299238,2026-08-27 04:41:15.576181,2026-08-27 04:41:30.900456,0 days 00:00:15.324275,0.7826484435755748,0.3403911033599112,0.09439831569936806,7,2.880043790954131,1.5100408408589772e-07,23.538263110950048,0.9842104900822669,0.8499635522299238,0.0023966120803201414,"[1416, 1500, 1500, 1473, 1499]","[0.8519142006678567, 0.852660991802066, 0.8503324896767598, 0.8458872144655366, 0.8490228645373997]",COMPLETE
2,0.8705289719295306,2026-08-27 04:41:30.900782,2026-08-27 04:41:47.191945,0 days 00:00:16.291163,0.6855299248522434,0.41743875595471047,0.14726161255504092,10,6.781935357780796,3.864031899313156e-05,14.610499699549097,0.8585642249613574,0.8705289719295306,0.0008628957427529355,"[1495, 1486, 1483, 1476, 1431]","[0.8709119243408399, 0.8717605242606751, 0.8698121980190404, 0.8708360319260544, 0.8693241811010437]",COMPLETE
3,0.84684086783254,2026-08-27 04:41:47.192273,2026-08-27 04:42:02.956522,0 days 00:00:15.764249,0.6595392252176876,0.4774657914394431,0.08394754752250128,5,5.011643571251018,5.357340695323986e-08,0.18099954688158187,0.9450697344147837,0.84684086783254,0.0017976172164655994,"[1494, 1494, 1500, 1486, 1499]","[0.8457387223118668, 0.848070131363215, 0.845399340115649, 0.8452079322851872, 0.8497882130867827]",COMPLETE
4,0.7998871006231227,2026-08-27 04:42:02.956844,2026-08-27 04:42:18.621546,0 days 00:00:15.664702,0.9963290723923126,1.1322462171492673,0.048769840070943336,4,13.502442798764482,0.00014367270092871558,0.1399264351773497,0.9178299664912868,0.7998871006231227,0.0035145128094246974,"[1494, 1498, 1500, 1489, 1500]","[0.8011262744122934, 0.8039552311258992, 0.7936188638971297, 0.8017677948119729, 0.7989673388683186]",COMPLETE
5,0.7868993525630612,2026-08-27 04:42:18.621881,2026-08-27 04:42:36.876936,0 days 00:00:18.255055,0.8904231274266234,2.130692051488852,0.018099146987238985,8,15.164258427643505,0.009425386803829051,20.136195700340338,0.953044632771952,0.7868993525630612,0.00476276986830849,"[1493, 1455, 1434, 1477, 1499]","[0.7839716682664978, 0.7942771180202656, 0.7855148844303104, 0.7806867286391371, 0.7900463634590954]",COMPLETE
6,0.8400498956270003,2026-08-27 04:42:36.877240,2026-08-27 04:43:10.096024,0 days 00:00:33.218784,0.7970893967426577,0.46120338258524907,0.01918354750824495,10,0.7811624819629674,6.963704487425356,0.47063847559435423,0.782598566894961,0.8400498956270003,0.0019287298978352344,"[1499, 1500, 1500, 1497, 1498]","[0.8414607505190824, 0.8391640748017144, 0.8411949624153326, 0.8366536922705676, 0.8417759981283046]",COMPLETE
7,0.8524069854188573,2026-08-27 04:43:10.096363,2026-08-27 04:43:34.020485,0 days 00:00:23.924122,0.7269413610677277,1.266165560263202,0.022953302153308094,10,1.7604099383967902,2.041568273325791e-06,2.5538276254965817,0.6529433178954122,0.8524069854188573,0.0029300522394721975,"[1499, 1500, 1500, 1498, 1500]","[0.8532347092670604, 0.8570546989448137, 0.8532332346254434, 0.8490310330331802, 0.8494812512237885]",COMPLETE
8,0.825698853754715,2026-08-27 04:43:34.020819,2026-08-27 04:43:52.996223,0 days 00:00:18.975404,0.9645659651689448,0.047573401053791486,0.11851328676362981,3,20.063522776432464,0.34420918881100815,4.715832950352583,0.7074625481911713,0.825698853754715,0.0013811129444137944,"[1496, 1498, 1499, 1497, 1499]","[0.823039362378554, 0.8256758362222968, 0.8266135085131768, 0.8267626323855684, 0.8264029292739786]",COMPLETE
9,0.725322325680499,2026-08-27 04:43:52.996531,2026-08-27 04:44:07.822819,0 days 00:00:14.826288,0.837631051781117,1.8972954750065205,0.033391708755025735,3,8.12005959578132,2.437950567013768,6.697837558293906,0.8256997968048689,0.725322325680499,0.005065283426265269,"[1499, 1500, 1500, 1500, 1500]","[0.7155863855272949, 0.7296965508244369, 0.7253869144107202, 0.7283765731512518, 0.7275652044887914]",COMPLETE
10,0.7806728194152078,2026-08-27 04:44:07.823143,2026-08-27 04:44:17.909488,0 days 00:00:10.086345,0.6025554256995838,2.9869578392012968,0.17115128841996644,6,0.8625345056254972,1.239446148413562e-09,0.9684799729031198,0.8154186866999962,0.7806728194152078,0.0053044512680905775,"[1456, 1500, 1444, 1466, 1485]","[0.775360065147492, 0.7905219592996625, 0.7770037001696971, 0.7793401338429272, 0.7811382386162599]",COMPLETE
11,0.855577405767691,2026-08-27 04:44:17.909800,2026-08-27 04:44:38.317289,0 days 00:00:20.407489,0.7068708218135153,1.1015819037394388,0.04809950013571818,10,2.000151976177787,4.514632609962317e-05,5.019540607508096,0.6132599083973347,0.855577405767691,0.003296739835880358,"[1499, 1498, 1500, 1500, 1500]","[0.8541554286377467, 0.8618660104452958, 0.8521741325623303, 0.8550916233933917, 0.854599833799691]",COMPLETE
12,0.8523819630924319,2026-08-27 04:44:38.317601,2026-08-27 04:44:58.682152,0 days 00:00:20.364551,0.6782743329282878,1.0252076108694772,0.05449774578204275,9,5.024974615071706,0.0009910433108845519,8.210034909208419,0.6446773085991204,0.8523819630924319,0.0007096512966581492,"[1499, 1500, 1500, 1500, 1500]","[0.8512697960364358, 0.8533548261846825, 0.8519638769204422, 0.8527081383067819, 0.8526131780138173]",COMPLETE
13,0.8621288094084342,2026-08-27 04:44:58.682489,2026-08-27 04:45:15.088385,0 days 00:00:16.405896,0.6725320077667093,0.7848649789462945,0.19639010434181664,10,1.334503164197373,6.501336646332095e-05,11.389015447500912,0.6021768360536973,0.8621288094084342,0.003677843031397463,"[1439, 1500, 1464, 1488, 1446]","[0.857566823594473, 0.8675575788447838, 0.8649092307954834, 0.861523320071318, 0.8590870937361128]",COMPLETE
14,0.8594792985887171,2026-08-27 04:45:15.088694,2026-08-27 04:45:30.256337,0 days 00:00:15.167643,0.6067985020666221,0.7357192839349284,0.1748224970113755,8,0.5629506277333849,0.007366281502087388,15.167077457961938,0.7251257998024343,0.8594792985887171,0.004204691285366651,"[1456, 1500, 1500, 1497, 1441]","[0.8543761262007675, 0.8620971922866408, 0.8578040657892916, 0.8568670030373869, 0.8662521056294987]",COMPLETE
15,0.8664305822992168,2026-08-27 04:45:30.256661,2026-08-27 04:45:59.397862,0 days 00:00:29.141201,0.6536074054839038,0.014190871821646578,0.19817774165410926,9,27.489547649192218,7.749040818304145e-07,11.633131249215683,0.8690856269930812,0.8664305822992168,0.003221798539986879,"[742, 775, 706, 774, 757]","[0.8602102123589516, 0.8691450613307729, 0.8684361146007834, 0.8665930402542074, 0.8677684829513687]",COMPLETE
