number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
0,0.6563241507058202,2026-08-27 05:38:37.687539,2026-08-27 05:38:38.250920,0 days 00:00:00.563381,1.3480180290890803e-07,balanced,log_loss,12,0.6,59,96,best,0.6563241507058202,0.01269108900666628,"[0.6353218541535238, 0.665567091421344, 0.672660626872792, 0.6531885903867239, 0.6548825906947172]",COMPLETE
1,0.5634130049761991,2026-08-27 05:38:38.251232,2026-08-27 05:38:38.320281,0 days 00:00:00.069049,0.0043873144324354085,,log_loss,17,0.8,24,44,random,0.5634130049761991,0.0044335272591622555,"[0.5574170163684801, 0.5642466480490897, 0.5630357243931517, 0.5613792823461611, 0.5709863537241128]",COMPLETE
2,0.5071353293726183,2026-08-27 05:38:38.320664,2026-08-27 05:38:38.347582,0 days 00:00:00.026918,0.006124806805925988,,gini,30,sqrt,25,82,random,0.5071353293726183,0.011238819584177138,"[0.49386548551742754, 0.4934412878336866, 0.5138694901160911, 0.5142526929091357, 0.5202476904867507]",COMPLETE
3,0.6254649636421721,2026-08-27 05:38:38.347910,2026-08-27 05:38:38.529330,0 days 00:00:00.181420,0.00041245717727594227,,log_loss,24,sqrt,72,95,best,0.6254649636421721,0.01102924445791424,"[0.6066263599757883, 0.6289474315130003, 0.630930889090048, 0.6213985172118398, 0.6394216204201838]",COMPLETE
4,0.5657425068301214,2026-08-27 05:38:38.529614,2026-08-27 05:38:38.626415,0 days 00:00:00.096801,1.5027137214154575e-07,,entropy,4,log2,62,99,best,0.5657425068301214,0.008307144032387206,"[0.5755212161402742, 0.558977671957971, 0.5684916366064242, 0.5723344739908823, 0.5533875354550556]",COMPLETE
5,0.6622885154206145,2026-08-27 05:38:38.626722,2026-08-27 05:38:39.405677,0 days 00:00:00.778955,2.8501838758433707e-05,,gini,11,,52,74,best,0.6622885154206145,0.015033042918972084,"[0.6357570168070787, 0.6813720903981709, 0.6699259281881068, 0.6608688901870844, 0.6635186515226318]",COMPLETE
6,0.5614378926706893,2026-08-27 05:38:39.405988,2026-08-27 05:38:39.428086,0 days 00:00:00.022098,0.0017697543538533224,,entropy,11,log2,73,52,random,0.5614378926706893,0.014436362855564329,"[0.5673298939653785, 0.5373931544415326, 0.57217815271809, 0.5531785104860261, 0.5771097517424195]",COMPLETE
7,0.6679794076815909,2026-08-27 05:38:39.428384,2026-08-27 05:38:40.157081,0 days 00:00:00.728697,1.8298712093870903e-07,balanced,entropy,17,0.8,72,81,best,0.6679794076815909,0.0067306317976064955,"[0.6593273630081743, 0.6716815124285578, 0.6789275967551737, 0.6651938539159438, 0.6647667123001053]",COMPLETE
8,0.6446618047377609,2026-08-27 05:38:40.157399,2026-08-27 05:38:40.218581,0 days 00:00:00.061182,1.0333896431462928e-08,,entropy,17,,30,71,random,0.6446618047377609,0.009053644879494099,"[0.6373781398325602, 0.6498241958809116, 0.6586103069091964, 0.6330194039031007, 0.6444769771630355]",COMPLETE
9,0.657703676375181,2026-08-27 05:38:40.218884,2026-08-27 05:38:40.400142,0 days 00:00:00.181258,1.3685182782317289e-05,,gini,16,sqrt,20,99,best,0.657703676375181,0.007762018168453787,"[0.6567254752305368, 0.661267407898626, 0.6472263016546351, 0.670213230538221, 0.6530859665538855]",COMPLETE
