number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
0,0.8142192395082845,2026-08-27 05:41:35.651939,2026-08-27 05:41:56.478168,0 days 00:00:20.826229,True,,log_loss,32.0,0.7,15,3,300,0.8142192395082845,0.005463009907188749,"[0.8068453149509315, 0.8229017157957857, 0.8160105345182501, 0.8150619052850341, 0.8102767269914212]",COMPLETE
1,0.7841686774269815,2026-08-27 05:41:56.478477,2026-08-27 05:42:06.657156,0 days 00:00:10.178679,True,balanced,gini,16.0,sqrt,13,20,600,0.7841686774269815,0.0038179900098792995,"[0.7775604220289069, 0.788405246717875, 0.7874615255052707, 0.7837248544210901, 0.7836913384617646]",COMPLETE
2,0.6873521315223428,2026-08-27 05:42:06.657481,2026-08-27 05:42:38.756710,0 days 00:00:32.099229,True,balanced,entropy,8.0,0.7,15,28,600,0.6873521315223428,0.0036709094078568832,"[0.6833111558410124, 0.6919314343620089, 0.6885377122475163, 0.6828032513813223, 0.6901771037798543]",COMPLETE
3,0.7969819162323186,2026-08-27 05:42:38.757036,2026-08-27 05:43:04.752614,0 days 00:00:25.995578,False,,log_loss,24.0,sqrt,20,25,800,0.7969819162323186,0.005332882419310212,"[0.7898676319607209, 0.8056581020161956, 0.7996532121240693, 0.794538872921326, 0.7951917621392814]",COMPLETE
4,0.7773067885815796,2026-08-27 05:43:04.752928,2026-08-27 05:43:24.934916,0 days 00:00:20.181988,True,,entropy,16.0,sqrt,15,31,1000,0.7773067885815796,0.007708174582894397,"[0.7678101852057398, 0.7906247853253993, 0.7788138929492004, 0.7720874021028626, 0.777197677324696]",COMPLETE
5,0.8468428851001096,2026-08-27 05:43:24.935238,2026-08-27 05:43:58.404121,0 days 00:00:33.468883,False,balanced,gini,48.0,0.3,3,18,800,0.8468428851001096,0.0055164287314381005,"[0.8393411869425104, 0.8564710448782088, 0.8459796205381537, 0.8453071475669898, 0.8471154255746853]",COMPLETE
6,0.8254909160074618,2026-08-27 05:43:58.404439,2026-08-27 05:44:21.602413,0 days 00:00:23.197974,True,balanced,entropy,48.0,0.5,1,34,400,0.8254909160074618,0.005548991792128382,"[0.8175288200441262, 0.8344803646989322, 0.8258944868640379, 0.8268448441071614, 0.8227060643230514]",COMPLETE
7,0.8237851689855102,2026-08-27 05:44:21.602720,2026-08-27 05:45:10.681496,0 days 00:00:49.078776,False,balanced,log_loss,32.0,0.3,15,19,1000,0.8237851689855102,0.005103948104594908,"[0.8149718711525905, 0.8308887693281138, 0.8244637355953364, 0.8235510656113835, 0.825050403240127]",COMPLETE
8,0.7338314610037868,2026-08-27 05:45:10.681817,2026-08-27 05:47:04.771058,0 days 00:01:54.089241,False,balanced_subsample,gini,24.0,1.0,19,40,900,0.7338314610037868,0.007886776713806979,"[0.7226800848298499, 0.7451276921187161, 0.7321169822715246, 0.7293781000335146, 0.7398544457653292]",COMPLETE
9,0.8652706445537721,2026-08-27 05:47:04.771372,2026-08-27 05:47:38.879178,0 days 00:00:34.107806,False,balanced_subsample,log_loss,,0.3,1,10,600,0.8652706445537721,0.0043489582661266095,"[0.859143825558228, 0.8718710597582783, 0.8681001858751841, 0.8635864011450782, 0.8636517504320916]",COMPLETE
10,0.8371353722406253,2026-08-27 05:47:38.879504,2026-08-27 05:47:57.021843,0 days 00:00:18.142339,False,balanced_subsample,log_loss,,log2,7,2,500,0.8371353722406253,0.005704474882886985,"[0.8292423448029608, 0.8454413265810645, 0.8415605916952069, 0.834971261315474, 0.83446133680842]",COMPLETE
11,0.8561799450627585,2026-08-27 05:47:57.022151,2026-08-27 05:48:26.800697,0 days 00:00:29.778546,False,balanced_subsample,gini,48.0,0.3,1,12,700,0.8561799450627585,0.0050845690782398084,"[0.850136507819907, 0.8647950445332494, 0.8581785959574115, 0.8524660382530334, 0.8553235387501913]",COMPLETE
12,0.797905321574276,2026-08-27 05:48:26.801002,2026-08-27 05:48:51.303883,0 days 00:00:24.502881,False,balanced_subsample,gini,12.0,0.3,5,11,700,0.797905321574276,0.005918978816480449,"[0.7899686442225171, 0.8082642641139679, 0.7984657299905007, 0.7966493405833805, 0.7961786289610138]",COMPLETE
13,0.8629674044726843,2026-08-27 05:48:51.304212,2026-08-27 05:49:24.900551,0 days 00:00:33.596339,False,balanced_subsample,log_loss,,0.3,1,11,600,0.8629674044726843,0.005612609549709833,"[0.8579777581977949, 0.8727834770955235, 0.8646927542031942, 0.8621220885387814, 0.8572609443281273]",COMPLETE
14,0.8457735252178962,2026-08-27 05:49:24.900868,2026-08-27 05:49:50.939605,0 days 00:00:26.038737,False,balanced_subsample,log_loss,,0.3,8,9,500,0.8457735252178962,0.0064432727907727345,"[0.8365232139174124, 0.8563764555324731, 0.847579567985539, 0.8433762492599016, 0.8450121393941546]",COMPLETE
15,0.871418146220989,2026-08-27 05:49:50.939911,2026-08-27 05:50:39.444484,0 days 00:00:48.504573,False,balanced_subsample,log_loss,,0.5,4,7,500,0.871418146220989,0.007434878101573776,"[0.8616054774262215, 0.8829103613045005, 0.8764128777847858, 0.8674456925286517, 0.8687163220607853]",COMPLETE
16,0.8519422392250171,2026-08-27 05:50:39.444808,2026-08-27 05:51:07.185081,0 days 00:00:27.740273,False,balanced_subsample,log_loss,,0.5,9,6,300,0.8519422392250171,0.007052615286102282,"[0.8413555057131529, 0.8633125765782056, 0.8537194985060216, 0.8513310435619879, 0.8499925717657172]",COMPLETE
17,0.865087290161086,2026-08-27 05:51:07.185391,2026-08-27 05:51:45.659182,0 days 00:00:38.473791,False,balanced_subsample,log_loss,,0.5,4,16,400,0.865087290161086,0.005065809927954547,"[0.8588105537094494, 0.8738549551102208, 0.8662894480151554, 0.8618663098130286, 0.8646151841575761]",COMPLETE
18,0.6819011337113509,2026-08-27 05:51:45.659518,2026-08-27 05:51:57.831166,0 days 00:00:12.171648,False,balanced_subsample,log_loss,8.0,log2,6,7,500,0.6819011337113509,0.006040658224462123,"[0.671364038208682, 0.6871709880083592, 0.6864141104713516, 0.6788874993308557, 0.6856690325375056]",COMPLETE
19,0.7103385148869126,2026-08-27 05:51:57.831456,2026-08-27 05:53:01.790926,0 days 00:01:03.959470,False,balanced_subsample,log_loss,12.0,1.0,10,15,400,0.7103385148869126,0.0078107972918873515,"[0.6969958565868053, 0.7180481896296679, 0.7183799404186009, 0.709212829142512, 0.7090557586569771]",COMPLETE
20,0.8741203892114644,2026-08-27 05:53:01.791242,2026-08-27 05:54:09.440376,0 days 00:01:07.649134,False,,entropy,,0.5,3,5,700,0.8741203892114644,0.005243867418440427,"[0.8710587129062807, 0.8841998538631876, 0.8742491288971173, 0.869851333314226, 0.8712429170765102]",COMPLETE
21,0.8741203892114644,2026-08-27 05:54:09.440692,2026-08-27 05:55:16.861918,0 days 00:01:07.421226,False,,entropy,,0.5,3,5,700,0.8741203892114644,0.005243867418440427,"[0.8710587129062807, 0.8841998538631876, 0.8742491288971173, 0.869851333314226, 0.8712429170765102]",COMPLETE
22,0.8741203892114644,2026-08-27 05:55:16.862229,2026-08-27 05:56:24.348320,0 days 00:01:07.486091,False,,entropy,,0.5,3,5,700,0.8741203892114644,0.005243867418440427,"[0.8710587129062807, 0.8841998538631876, 0.8742491288971173, 0.869851333314226, 0.8712429170765102]",COMPLETE
23,0.8739344535778043,2026-08-27 05:56:24.348646,2026-08-27 05:57:41.839781,0 days 00:01:17.491135,False,,entropy,,0.5,3,3,800,0.8739344535778043,0.004792071066622867,"[0.8709810809199974, 0.8831786734431525, 0.874065268669891, 0.8707771417212049, 0.8706701031347759]",COMPLETE
24,0.8741203892114644,2026-08-27 05:57:41.840097,2026-08-27 05:58:49.094155,0 days 00:01:07.254058,False,,entropy,,0.5,3,5,700,0.8741203892114644,0.005243867418440427,"[0.8710587129062807, 0.8841998538631876, 0.8742491288971173, 0.869851333314226, 0.8712429170765102]",COMPLETE
25,0.8620763178415807,2026-08-27 05:58:49.094479,2026-08-27 06:00:12.524340,0 days 00:01:23.429861,False,,entropy,,0.5,6,14,900,0.8620763178415807,0.005938149868433482,"[0.8574139825025989, 0.8727935487230115, 0.8638437674370126, 0.8564340631081526, 0.8598962274371281]",COMPLETE
26,0.8487951694756048,2026-08-27 06:00:12.524662,2026-08-27 06:00:52.594280,0 days 00:00:40.069618,True,,entropy,,0.5,5,2,700,0.8487951694756048,0.007305508328648345,"[0.840063900884207, 0.8612565303794915, 0.8520452180860468, 0.8457565928045105, 0.8448536052237686]",COMPLETE
27,0.8011903112506322,2026-08-27 06:00:52.594591,2026-08-27 06:01:55.930529,0 days 00:01:03.335938,False,,entropy,12.0,0.5,11,7,800,0.8011903112506322,0.009222177085033317,"[0.7927870693003581, 0.818153539445167, 0.7942894156444252, 0.8033506249452929, 0.7973709069179179]",COMPLETE
