number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_best_iterations,user_attrs_fold_scores,state
0,0.8330644788546315,2026-08-27 08:19:35.141796,2026-08-27 08:19:53.600005,0 days 00:00:18.458209,0.7442003345025142,1.8277151418544553,0.019677977348166304,9,2.1771032186203514,8.665537597324885e-06,1.0311514495138399,0.8978561926718072,0.8330644788546315,0.004178598295363615,"[1499, 1498, 1500, 1489, 1498]","[0.8288540880030987, 0.8408284646849267, 0.8321479466794016, 0.8333238368867716, 0.8301680580189593]",COMPLETE
1,0.8554768025671576,2026-08-27 08:19:53.600310,2026-08-27 08:20:09.857614,0 days 00:00:16.257304,0.7826484435755748,0.3403911033599112,0.09439831569936806,7,2.880043790954131,1.5100408408589772e-07,23.538263110950048,0.9842104900822669,0.8554768025671576,0.004549005192642116,"[1497, 1453, 1467, 1461, 1439]","[0.8497851686607439, 0.8634432897815495, 0.8543486492333182, 0.8565883020973627, 0.8532186030628138]",COMPLETE
2,0.8727881912840747,2026-08-27 08:20:09.857967,2026-08-27 08:20:25.839397,0 days 00:00:15.981430,0.6855299248522434,0.41743875595471047,0.14726161255504092,10,6.781935357780796,3.864031899313156e-05,14.610499699549097,0.8585642249613574,0.8727881912840747,0.003777088241143931,"[1499, 1496, 1500, 1483, 1494]","[0.8722016340899431, 0.8795666294126772, 0.8713156005422528, 0.8680061164521806, 0.8728509759233201]",COMPLETE
3,0.8543777834846493,2026-08-27 08:20:25.839726,2026-08-27 08:20:41.271861,0 days 00:00:15.432135,0.6595392252176876,0.4774657914394431,0.08394754752250128,5,5.011643571251018,5.357340695323986e-08,0.18099954688158187,0.9450697344147837,0.8543777834846493,0.003693155760190953,"[1497, 1500, 1500, 1498, 1494]","[0.8522030171560743, 0.8600891808575574, 0.8507998238542133, 0.857402168775642, 0.8513947267797591]",COMPLETE
4,0.8061522990100844,2026-08-27 08:20:41.272184,2026-08-27 08:20:56.497548,0 days 00:00:15.225364,0.9963290723923126,1.1322462171492673,0.048769840070943336,4,13.502442798764482,0.00014367270092871558,0.1399264351773497,0.9178299664912868,0.8061522990100844,0.0047008688689629385,"[1495, 1499, 1491, 1488, 1498]","[0.8008832020833173, 0.8107621367080147, 0.8107202937905001, 0.8082581757756374, 0.8001376866929523]",COMPLETE
5,0.7885066397251064,2026-08-27 08:20:56.497869,2026-08-27 08:21:14.351803,0 days 00:00:17.853934,0.8904231274266234,2.130692051488852,0.018099146987238985,8,15.164258427643505,0.009425386803829051,20.136195700340338,0.953044632771952,0.7885066397251064,0.004501183255928839,"[1469, 1488, 1476, 1491, 1499]","[0.7835442051749006, 0.7960251742252981, 0.7906466159077726, 0.7876657632687963, 0.7846514400487644]",COMPLETE
6,0.8416985869971396,2026-08-27 08:21:14.352163,2026-08-27 08:21:47.044767,0 days 00:00:32.692604,0.7970893967426577,0.46120338258524907,0.01918354750824495,10,0.7811624819629674,6.963704487425356,0.47063847559435423,0.782598566894961,0.8416985869971396,0.005745762061552451,"[1500, 1500, 1500, 1498, 1499]","[0.8322620719272421, 0.8472061943065302, 0.8465605458793127, 0.8379447055815764, 0.844519417291037]",COMPLETE
7,0.8555837356930995,2026-08-27 08:21:47.045092,2026-08-27 08:22:10.705630,0 days 00:00:23.660538,0.7269413610677277,1.266165560263202,0.022953302153308094,10,1.7604099383967902,2.041568273325791e-06,2.5538276254965817,0.6529433178954122,0.8555837356930995,0.003684448727257686,"[1499, 1492, 1500, 1500, 1495]","[0.8500822305466301, 0.8616307358732508, 0.8561781770634646, 0.8551551075387236, 0.8548724274434285]",COMPLETE
8,0.8312718980913367,2026-08-27 08:22:10.705976,2026-08-27 08:22:29.462406,0 days 00:00:18.756430,0.9645659651689448,0.047573401053791486,0.11851328676362981,3,20.063522776432464,0.34420918881100815,4.715832950352583,0.7074625481911713,0.8312718980913367,0.003318708617473186,"[1500, 1500, 1500, 1500, 1500]","[0.827854552298937, 0.835229130870749, 0.832080976701416, 0.8269803219421284, 0.8342145086434529]",COMPLETE
9,0.7300092020681866,2026-08-27 08:22:29.462738,2026-08-27 08:22:43.746183,0 days 00:00:14.283445,0.837631051781117,1.8972954750065205,0.033391708755025735,3,8.12005959578132,2.437950567013768,6.697837558293906,0.8256997968048689,0.7300092020681866,0.006703998264138724,"[1500, 1500, 1500, 1498, 1499]","[0.7357810576715705, 0.7335069108235822, 0.7356095205522527, 0.7268898953035112, 0.7182586259900163]",COMPLETE
10,0.7908186853594091,2026-08-27 08:22:43.746511,2026-08-27 08:22:53.587032,0 days 00:00:09.840521,0.6025554256995838,2.9869578392012968,0.17115128841996644,6,0.8625345056254972,1.239446148413562e-09,0.9684799729031198,0.8154186866999962,0.7908186853594091,0.005490992861754707,"[1484, 1467, 1466, 1497, 1493]","[0.7845372574202237, 0.800375424421692, 0.7914025747967028, 0.791356854641168, 0.7864213155172589]",COMPLETE
11,0.8599526598920336,2026-08-27 08:22:53.587365,2026-08-27 08:23:13.195616,0 days 00:00:19.608251,0.7068708218135153,1.1015819037394388,0.04809950013571818,10,2.000151976177787,4.514632609962317e-05,5.019540607508096,0.6132599083973347,0.8599526598920336,0.0037227926681374017,"[1495, 1500, 1488, 1499, 1499]","[0.853921383991763, 0.8652415838475097, 0.8587489046685427, 0.8600301054524341, 0.8618213214999194]",COMPLETE
12,0.8546608769302703,2026-08-27 08:23:13.195950,2026-08-27 08:23:32.952269,0 days 00:00:19.756319,0.6782743329282878,1.0252076108694772,0.05449774578204275,9,5.024974615071706,0.0009910433108845519,8.210034909208419,0.6446773085991204,0.8546608769302703,0.00423501895643461,"[1491, 1489, 1488, 1499, 1495]","[0.8488627765644555, 0.8603743642503775, 0.8554509548729197, 0.850950916526935, 0.8576653724366637]",COMPLETE
13,0.8624044717365378,2026-08-27 08:23:32.952588,2026-08-27 08:23:48.831367,0 days 00:00:15.878779,0.6725320077667093,0.7848649789462945,0.19639010434181664,10,1.334503164197373,6.501336646332095e-05,11.389015447500912,0.6021768360536973,0.8624044717365378,0.004781376637393378,"[1421, 1500, 1470, 1352, 1464]","[0.8588432723721374, 0.8709428811177973, 0.8641477427330285, 0.8577992792678447, 0.8602891831918807]",COMPLETE
14,0.8620390011457493,2026-08-27 08:23:48.831697,2026-08-27 08:24:03.561734,0 days 00:00:14.730037,0.6067985020666221,0.7357192839349284,0.1748224970113755,8,0.5629506277333849,0.007366281502087388,15.167077457961938,0.7251257998024343,0.8620390011457493,0.003018913912161451,"[1495, 1463, 1493, 1498, 1495]","[0.8597602801973587, 0.8649038076160394, 0.8659454206730915, 0.8579463864627169, 0.86163911077954]",COMPLETE
15,0.8694503838434328,2026-08-27 08:24:03.562044,2026-08-27 08:24:31.908744,0 days 00:00:28.346700,0.6536074054839038,0.014190871821646578,0.19817774165410926,9,27.489547649192218,7.749040818304145e-07,11.633131249215683,0.8690856269930812,0.8694503838434328,0.0029413733484459307,"[839, 655, 780, 694, 707]","[0.8712462071631256, 0.8743888818704114, 0.8666162275750132, 0.8674430468543228, 0.8675575557542908]",COMPLETE
16,0.8684761409918978,2026-08-27 08:24:31.909068,2026-08-27 08:25:08.861915,0 days 00:00:36.952847,0.6390519450381702,0.020524823242183767,0.13177796734730307,8,29.266819628702436,2.2588770720502548e-07,3.0830473334047306,0.8586927017191538,0.8684761409918978,0.003158003446304332,"[1273, 1280, 1365, 1097, 1007]","[0.8734261669385037, 0.8708994692550992, 0.8659020818668292, 0.8668972416010662, 0.8652557452979915]",COMPLETE
17,0.8816454702401959,2026-08-27 08:25:08.862227,2026-08-27 08:25:27.073550,0 days 00:00:18.211323,0.7462766269481121,0.262938132752185,0.11559880571167458,9,8.540761076488415,2.172213690433863e-09,2.083558458304227,0.8864095686072445,0.8816454702401959,0.0035930161110207712,"[1500, 1473, 1500, 1497, 1381]","[0.8807112350309664, 0.8856480048262011, 0.8854748808687442, 0.8760516026605157, 0.8803416278145527]",COMPLETE
18,0.8399800471096395,2026-08-27 08:25:27.073878,2026-08-27 08:25:40.483909,0 days 00:00:13.410031,0.7685876627442525,1.4557408989094207,0.0782463128351522,6,7.513754202666461,3.0898501493733272e-09,1.1357101578547972,0.7667214138864583,0.8399800471096395,0.005159281713797241,"[1500, 1499, 1500, 1499, 1495]","[0.8317266437061545, 0.8474820998549529, 0.8426113563725813, 0.8390232561681238, 0.8390568794463845]",COMPLETE
19,0.841983396479679,2026-08-27 08:25:40.484231,2026-08-27 08:25:49.829934,0 days 00:00:09.345703,0.8425310595120723,0.7312884368852899,0.13279314941400044,7,4.053989981004542,1.3760240810671025e-08,0.35425072033627353,0.9967124142755496,0.841983396479679,0.007819705283776077,"[625, 1466, 1500, 610, 1326]","[0.8350373407674483, 0.8524781289214062, 0.8443648397826257, 0.8468954368385954, 0.8311412360883201]",COMPLETE
20,0.8771485015635772,2026-08-27 08:25:49.830241,2026-08-27 08:26:12.848298,0 days 00:00:23.018057,0.705568621452069,0.31089772099195145,0.06418949709826452,9,9.115994902439157,0.09095647740042732,2.2641434467107167,0.8681238025780942,0.8771485015635772,0.002917720160745021,"[1484, 1495, 1488, 1494, 1498]","[0.8754396919260555, 0.8826332596998613, 0.8776712411800448, 0.8751576441436201, 0.874840670868304]",COMPLETE
21,0.8764992941722545,2026-08-27 08:26:12.848626,2026-08-27 08:26:32.702907,0 days 00:00:19.854281,0.7156866437123837,0.34181595694196115,0.06857798114488887,9,8.748670161501403,0.48317265512657953,1.9422836377699944,0.8782041330301507,0.8764992941722545,0.0024877615337704152,"[1499, 1496, 1500, 1476, 1498]","[0.8737493671597943, 0.881035936713154, 0.8769676501612231, 0.8752311667707237, 0.8755123500563772]",COMPLETE
22,0.8742456889312089,2026-08-27 08:26:32.703224,2026-08-27 08:26:53.509578,0 days 00:00:20.806354,0.739912759336613,0.34106308655449113,0.06651217468208913,9,11.554094959194167,0.15851927368239083,1.9222542302610328,0.900149073766403,0.8742456889312089,0.003573768411961297,"[1500, 1487, 1500, 1489, 1498]","[0.8724618644404144, 0.8803829559432894, 0.8751005135749668, 0.8737292907865867, 0.8695538199107878]",COMPLETE
23,0.8797945272966287,2026-08-27 08:26:53.509896,2026-08-27 08:27:16.892894,0 days 00:00:23.382998,0.8161400869086647,0.2298959367723586,0.10357567616016997,8,9.825653021639553,0.03367336652018941,1.616281742805327,0.8224550556193101,0.8797945272966287,0.0027416069912127717,"[1472, 1464, 1500, 1496, 1391]","[0.8801028514168557, 0.8836417678437393, 0.8816759736892482, 0.8774554071814048, 0.8760966363518952]",COMPLETE
24,0.8657853931118964,2026-08-27 08:27:16.893254,2026-08-27 08:27:32.978689,0 days 00:00:16.085435,0.8500368212761793,0.6478612884614297,0.10408414139034529,7,11.4194089410537,0.011601566918598627,0.6463820045841848,0.8172555698933346,0.8657853931118964,0.004157928706646867,"[1497, 1495, 1488, 1497, 1499]","[0.8612833763927026, 0.8735859352937623, 0.8655719247902169, 0.8637325287348637, 0.8647532003479368]",COMPLETE
25,0.8698359797104287,2026-08-27 08:27:32.979015,2026-08-27 08:28:13.954046,0 days 00:00:40.975031,0.8156322899320291,0.19348598583840332,0.03376207213703955,8,16.79796399788668,0.0544165872863283,1.386114759754914,0.7615666242320015,0.8698359797104287,0.0027181802462383563,"[1500, 1499, 1500, 1499, 1500]","[0.8688045155763787, 0.8737085667089256, 0.8708457612060375, 0.8654158050938939, 0.8704052499669072]",COMPLETE
26,0.8645322037009716,2026-08-27 08:28:13.954379,2026-08-27 08:28:26.898371,0 days 00:00:12.943992,0.8981480418851177,0.949955346389509,0.10264804653521425,8,3.707821157244363,0.0003824362507556758,3.271475386017675,0.8380099865899632,0.8645322037009716,0.00265165398325757,"[1496, 1492, 1477, 1480, 1493]","[0.8638606770754501, 0.8685537823697009, 0.8665214263095843, 0.8614617124448917, 0.8622634203052314]",COMPLETE
