scene_id,sensor,acquisition_date,season,lakes,classes,scene_partition,protected_from_los,train_rows,test_rows,los_test_rows,total_rows
LC08_L1TP_024030_20210901_20210909_02_T1,LC08,2021-09-01,SON,mendota,1;2;3,development,False,134,16,0,150
LC08_L1TP_024030_20220107_20220114_02_T1,LC08,2022-01-07,DJF,mendota,1;2;3,development,False,134,16,0,150
LC08_L1TP_024030_20220328_20220405_02_T1,LC08,2022-03-28,MAM,mendota,1;2;3,development,False,133,17,0,150
LC08_L1TP_024030_20231009_20231017_02_T1,LC08,2023-10-09,SON,mendota,1;2;3,development,False,134,16,0,150
LC08_L1TP_024030_20231212_20231215_02_T1,LC08,2023-12-12,DJF,mendota,1;2;3,los_test,False,0,0,150,150
LC08_L1TP_191028_20240810_20240815_02_T1,LC08,2024-08-10,JJA,venice,3,development,False,44,6,0,50
LC08_L1TP_191028_20250813_20250821_02_T1,LC08,2025-08-13,JJA,venice,1;2;3,development,False,133,17,0,150
LC08_L1TP_191029_20240607_20240627_02_T1,LC08,2024-06-07,JJA,venice,1;2;3,development,False,135,15,0,150
LC08_L1TP_191029_20240709_20240718_02_T1,LC08,2024-07-09,JJA,venice,3,development,False,45,5,0,50
LC08_L1TP_191029_20240810_20240815_02_T1,LC08,2024-08-10,JJA,venice,3,los_test,False,0,0,50,50
LC08_L1TP_191029_20240911_20240914_02_T1,LC08,2024-09-11,SON,venice,1;2;3,development,False,133,17,0,150
LC08_L1TP_191029_20241130_20241203_02_T1,LC08,2024-11-30,SON,venice,3,development,False,45,5,0,50
LC08_L1TP_191029_20250525_20250603_02_T1,LC08,2025-05-25,MAM,venice,1;2;3,development,False,135,15,0,150
LC08_L1TP_191029_20250813_20250821_02_T1,LC08,2025-08-13,JJA,venice,1;2;3,los_test,False,0,0,150,150
LC08_L1TP_192028_20240411_20240419_02_T1,LC08,2024-04-11,MAM,venice,1;2;3,development,False,133,17,0,150
LC08_L1TP_192029_20240411_20240419_02_T1,LC08,2024-04-11,MAM,venice,1;2;3,development,False,134,16,0,150
LC08_L1TP_192029_20250703_20250711_02_T1,LC08,2025-07-03,JJA,venice,1;2;3,development,False,133,17,0,150
LC08_L1TP_193028_20210613_20210622_02_T1,LC08,2021-06-13,JJA,bianco,1;2;3,development,False,87,10,0,97
LC08_L1TP_193028_20210901_20210909_02_T1,LC08,2021-09-01,SON,bianco,3,development,False,45,5,0,50
LC08_L1TP_193028_20220718_20220726_02_T1,LC08,2022-07-18,JJA,bianco,3,development,False,44,6,0,50
LC08_L1TP_193028_20220803_20220806_02_T1,LC08,2022-08-03,JJA,bianco,3,development,False,45,5,0,50
LC08_L1TP_193028_20221006_20221013_02_T1,LC08,2022-10-06,SON,bianco,3,development,False,44,6,0,50
LC08_L1TP_193028_20230822_20230826_02_T1,LC08,2023-08-22,JJA,bianco,3,development,False,44,6,0,50
LC08_L1TP_193028_20230907_20230912_02_T1,LC08,2023-09-07,SON,bianco,3,los_test,False,0,0,50,50
LC08_L1TP_193028_20231009_20231017_02_T1,LC08,2023-10-09,SON,bianco,3,development,False,45,5,0,50
LC08_L1TP_193028_20250624_20250701_02_T1,LC08,2025-06-24,JJA,bianco,3,development,False,44,6,0,50
LC08_L1TP_193028_20250710_20250715_02_T1,LC08,2025-07-10,JJA,bianco,3,development,False,44,6,0,50
LC08_L1TP_193028_20250811_20250821_02_T1,LC08,2025-08-11,JJA,bianco,3,development,False,45,5,0,50
LC08_L1TP_194027_20220114_20220123_02_T1,LC08,2022-01-14,DJF,greifensee,3,development,False,45,5,0,50
LC08_L1TP_194027_20220319_20220329_02_T1,LC08,2022-03-19,MAM,greifensee,3,development,False,44,6,0,50
LC08_L1TP_194027_20220420_20220427_02_T1,LC08,2022-04-20,MAM,greifensee,1;2;3,los_test,False,0,0,150,150
LC08_L1TP_194027_20220725_20220802_02_T1,LC08,2022-07-25,JJA,greifensee,3,development,False,44,6,0,50
