rank,candidate_id,stability_score,mean_score,std_score,min_score,max_score,n_repeated_folds,final_n_estimators,parameters,source_trials,fold_scores
1,6,0.5580116516480131,0.566529435338518,0.03407113476201942,0.5117906245614187,0.6246947270079841,15,,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 17, ""min_samples_split"": 37, ""n_estimators"": 700}","[{""cv_seed"": 142, ""prescreen_score"": 0.5739027144907091, ""run"": 2, ""trial"": 138, ""tuning_values"": [0.5739027144907091]}]","[0.5117906245614187, 0.600531679176335, 0.5745507194546929, 0.5544226069069277, 0.5300209070362912, 0.5951336196748094, 0.5369877352352678, 0.5791577134405927, 0.5335397770948918, 0.6246947270079841, 0.5902877989852482, 0.5636534157077615, 0.6181588330502165, 0.5648869714859842, 0.5201244012593466]"
2,7,0.5576556832213443,0.5662326345518732,0.034307805322115824,0.5103685605150027,0.6224819253141977,15,,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 16, ""min_samples_split"": 38, ""n_estimators"": 700}","[{""cv_seed"": 142, ""prescreen_score"": 0.5725270146119436, ""run"": 2, ""trial"": 143, ""tuning_values"": [0.5725270146119436]}]","[0.5103685605150027, 0.6034573625757588, 0.5747752675335457, 0.55564921718709, 0.5305622591837375, 0.5940285019941617, 0.535024296215412, 0.5779753717291113, 0.5331249778068351, 0.6224819253141977, 0.5924155031972699, 0.5619900966597547, 0.6187744186305237, 0.5620773012394438, 0.520784458496255]"
3,8,0.5573863828144019,0.5659119674999115,0.03410233874203808,0.5116590389163169,0.6211791113399266,15,,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 16, ""min_samples_split"": 36, ""n_estimators"": 700}","[{""cv_seed"": 142, ""prescreen_score"": 0.5724609852533132, ""run"": 2, ""trial"": 145, ""tuning_values"": [0.5724609852533132]}, {""cv_seed"": 142, ""prescreen_score"": 0.5724609852533132, ""run"": 2, ""trial"": 148, ""tuning_values"": [0.5724609852533132]}]","[0.5116590389163169, 0.6018608625011463, 0.5719512685009374, 0.555443583717654, 0.5310022849475647, 0.5931138994017827, 0.5351348804993844, 0.5783203517689796, 0.5345566832564924, 0.6211791113399266, 0.5935468182161616, 0.5610898054135559, 0.6186011305532663, 0.5642939022570846, 0.5169258912084183]"
4,9,0.557225297105492,0.5657196521478446,0.03397742016941062,0.5105001461601044,0.6218028429685606,15,,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 16, ""min_samples_split"": 36, ""n_estimators"": 800}","[{""cv_seed"": 142, ""prescreen_score"": 0.5723373947317977, ""run"": 2, ""trial"": 149, ""tuning_values"": [0.5723373947317977]}]","[0.5105001461601044, 0.6029089098589576, 0.5708006547046282, 0.5557736626745062, 0.5320478523352042, 0.5920061710978377, 0.5354557464538737, 0.5784885161978695, 0.5339336969408469, 0.6218028429685606, 0.5915022215358776, 0.5605673393738485, 0.6181850719819287, 0.5635578674761855, 0.5182640824574393]"
5,5,0.557134635845579,0.5656817643747301,0.034188514116604174,0.5140886403689395,0.6231897323571848,15,,"{""bootstrap"": false, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 9, ""min_samples_split"": 38, ""n_estimators"": 900}","[{""cv_seed"": 42, ""prescreen_score"": 0.5559934836821422, ""run"": 1, ""trial"": 84, ""tuning_values"": [0.5559934836821422]}]","[0.5140886403689395, 0.6053558948202453, 0.5770499210134972, 0.5562305839642593, 0.5272423782437698, 0.5860603915576016, 0.5325949358973635, 0.5767564638255432, 0.5322028947875772, 0.6231897323571848, 0.5882725810247066, 0.561148701526363, 0.6206108915529555, 0.5633094805880732, 0.521112974092871]"
6,13,0.5571264468499468,0.5656505494680274,0.034096410472322085,0.5104606067502959,0.6200521370709556,15,,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 15, ""min_samples_split"": 11, ""n_estimators"": 1300}","[{""cv_seed"": 242, ""prescreen_score"": 0.5714772069473245, ""run"": 3, ""trial"": 36, ""tuning_values"": [0.5714772069473245]}]","[0.5104606067502959, 0.6022160526874747, 0.5695506782890889, 0.5552281422295096, 0.530167708967863, 0.5928910942622563, 0.5348317543264259, 0.5792115819968572, 0.5327624507030615, 0.6200521370709556, 0.5918705730054337, 0.563389726736537, 0.6193648147192952, 0.5637393313829916, 0.519021588892365]"
7,10,0.5571145228309133,0.5656191602708217,0.034018549759633254,0.5140247402662623,0.6216401577972596,15,,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 16, ""min_samples_split"": 37, ""n_estimators"": 700}","[{""cv_seed"": 142, ""prescreen_score"": 0.5720205901073595, ""run"": 2, ""trial"": 144, ""tuning_values"": [0.5720205901073595]}]","[0.5140247402662623, 0.6005295292060032, 0.5727164641833516, 0.5554589536877389, 0.5306904481210255, 0.594610159497436, 0.5346390815473722, 0.5776283865727582, 0.531585165121972, 0.6216401577972596, 0.5893766801743893, 0.5607389397987261, 0.6199963554128242, 0.5631173469849272, 0.5175349956902783]"
8,1,0.5569708330976844,0.5655182615377233,0.03418971376015568,0.5119302351959708,0.6190408044558756,15,,"{""bootstrap"": false, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 11, ""min_samples_split"": 7, ""n_estimators"": 600}","[{""cv_seed"": 42, ""prescreen_score"": 0.5565596644657347, ""run"": 1, ""trial"": 148, ""tuning_values"": [0.5565596644657347]}]","[0.5119302351959708, 0.6033790121876443, 0.5807176802839055, 0.5572361908049007, 0.5295352038562521, 0.5903387182316142, 0.5320813971638202, 0.5772433798679677, 0.5287625926361303, 0.618748273757836, 0.5870010592200011, 0.5640580675920152, 0.6190408044558756, 0.5646113158149848, 0.5180899919969311]"
9,3,0.5568458513098695,0.5655765819722042,0.03492292264933861,0.5131975098908951,0.6232337403860508,15,,"{""bootstrap"": false, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 11, ""min_samples_split"": 38, ""n_estimators"": 800}","[{""cv_seed"": 42, ""prescreen_score"": 0.5559989125091864, ""run"": 1, ""trial"": 52, ""tuning_values"": [0.5559989125091864]}, {""cv_seed"": 42, ""prescreen_score"": 0.5559989125091864, ""run"": 1, ""trial"": 53, ""tuning_values"": [0.5559989125091864]}, {""cv_seed"": 42, ""prescreen_score"": 0.5559989125091864, ""run"": 1, ""trial"": 81, ""tuning_values"": [0.5559989125091864]}, {""cv_seed"": 42, ""prescreen_score"": 0.5559989125091864, ""run"": 1, ""trial"": 121, ""tuning_values"": [0.5559989125091864]}]","[0.5131975098908951, 0.6037707679000942, 0.5784951527501195, 0.5578116829296601, 0.5267194490751633, 0.5898115712838513, 0.5311151579572315, 0.577123893286089, 0.53100643292838, 0.6232337403860508, 0.5899255846040802, 0.5598721933890595, 0.6208890347308245, 0.5623405714949108, 0.5183359869766524]"
10,4,0.5568458513098695,0.5655765819722042,0.03492292264933861,0.5131975098908951,0.6232337403860508,15,,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 11, ""min_samples_split"": 38, ""n_estimators"": 800}","[{""cv_seed"": 42, ""prescreen_score"": 0.5559989125091864, ""run"": 1, ""trial"": 55, ""tuning_values"": [0.5559989125091864]}]","[0.5131975098908951, 0.6037707679000942, 0.5784951527501195, 0.5578116829296601, 0.5267194490751633, 0.5898115712838513, 0.5311151579572315, 0.577123893286089, 0.53100643292838, 0.6232337403860508, 0.5899255846040802, 0.5598721933890595, 0.6208890347308245, 0.5623405714949108, 0.5183359869766524]"
