rank,candidate_id,stability_score,mean_score,std_score,min_score,max_score,n_repeated_folds,final_n_estimators,parameters,source_trials,fold_scores
1,10,0.5634244029951617,0.570503118192296,0.02831486078853707,0.5152607575095519,0.6280685026987437,15,30,"{""colsample_bytree"": 0.9265330091805825, ""gamma"": 0.0005401405183560193, ""learning_rate"": 0.08255087431324883, ""max_depth"": 6, ""min_child_weight"": 1.3523635989268643, ""reg_alpha"": 7.933149024371146e-06, ""reg_lambda"": 2.466173115137998, ""subsample"": 0.7795834001600945}","[{""cv_seed"": 142, ""prescreen_score"": 0.6305098374863318, ""run"": 2, ""trial"": 47, ""tuning_values"": [0.5755736628069547, 0.8834850437540828]}]","[0.5152607575095519, 0.5962734432222775, 0.5921614240554637, 0.5601514390469812, 0.540881405482144, 0.5869600175011159, 0.5509345084464646, 0.576265081445014, 0.5356402039434348, 0.6280685026987437, 0.5891255461918546, 0.5664567305933703, 0.6009503534471335, 0.5660995901999889, 0.5523177691009019]"
2,9,0.5633848820954556,0.5709970981229069,0.0304488641098052,0.5151566151205432,0.6323526774823451,15,151,"{""colsample_bytree"": 0.9128530599134459, ""gamma"": 0.050372159876140035, ""learning_rate"": 0.01632815378879005, ""max_depth"": 6, ""min_child_weight"": 1.341817310957715, ""reg_alpha"": 0.0005094709690651393, ""reg_lambda"": 0.8061874913004878, ""subsample"": 0.7649533785565404}","[{""cv_seed"": 142, ""prescreen_score"": 0.6307419095873912, ""run"": 2, ""trial"": 122, ""tuning_values"": [0.5768766117072321, 0.876179027426055]}]","[0.5151566151205432, 0.604557017708259, 0.5872859002660328, 0.5547811210227286, 0.5403857307509097, 0.585740742845779, 0.5570276191507122, 0.5782044566181974, 0.5310575624391265, 0.6323526774823451, 0.5883876356611949, 0.5585766562529676, 0.6110153148112762, 0.5666314039462262, 0.553796017767305]"
3,2,0.5631109411286898,0.5710475099539382,0.031746275300993505,0.5121964972515548,0.6210370164340236,15,39,"{""colsample_bytree"": 0.9722173342158692, ""gamma"": 0.013691835216905979, ""learning_rate"": 0.08155525544167284, ""max_depth"": 4, ""min_child_weight"": 5.847812920547647, ""reg_alpha"": 0.005257519882494077, ""reg_lambda"": 2.1341603302528727, ""subsample"": 0.7134282475624307}","[{""cv_seed"": 42, ""prescreen_score"": 0.6196724204209307, ""run"": 1, ""trial"": 116, ""tuning_values"": [0.566246834923056, 0.8643187402133987]}]","[0.5121964972515548, 0.6134065643403375, 0.6032309784892567, 0.5588139040276401, 0.5435862305064911, 0.5813557197317826, 0.5400493968793243, 0.5686136751984608, 0.5411854819449484, 0.6210370164340236, 0.5955868368628171, 0.5398878520193627, 0.6104889310970703, 0.5806001218516634, 0.5556734426743386]"
4,22,0.5630079329516492,0.5709715343397337,0.03185440555233818,0.5071542931484575,0.6302467345676784,15,31,"{""colsample_bytree"": 0.8935561213278039, ""gamma"": 0.06027056560719994, ""learning_rate"": 0.08674804397147905, ""max_depth"": 5, ""min_child_weight"": 1.187775034439722, ""reg_alpha"": 0.05308372022239311, ""reg_lambda"": 0.5120858195377581, ""subsample"": 0.9856181109095652}","[{""cv_seed"": 242, ""prescreen_score"": 0.6299231205497235, ""run"": 3, ""trial"": 86, ""tuning_values"": [0.5764809484966276, 0.8726055757111242]}]","[0.5071542931484575, 0.6144985465304736, 0.5993859755647836, 0.554397884477508, 0.5396896062092643, 0.5781858672540857, 0.5530171398609225, 0.5721124719769759, 0.5334797530227177, 0.6302467345676784, 0.5792807732536712, 0.5547200202660706, 0.6099365312925284, 0.5737238644193495, 0.5647435532515178]"
5,5,0.562869056353613,0.5706818723840191,0.03125126412162471,0.5018315195347979,0.6201126040950875,15,36,"{""colsample_bytree"": 0.9718841710266146, ""gamma"": 0.125395581703582, ""learning_rate"": 0.07643934931767554, ""max_depth"": 5, ""min_child_weight"": 3.8711999529003, ""reg_alpha"": 0.0004933974946024523, ""reg_lambda"": 1.2042399285962784, ""subsample"": 0.7351625059280573}","[{""cv_seed"": 42, ""prescreen_score"": 0.6171350727725193, ""run"": 1, ""trial"": 148, ""tuning_values"": [0.5621451635101586, 0.8734666477043784]}]","[0.5018315195347979, 0.6028145902833127, 0.6060793655694319, 0.558228824520942, 0.5417715176423082, 0.5811678152668117, 0.555033293973706, 0.5738396085201156, 0.5316394160251804, 0.6201126040950875, 0.5903544057697931, 0.5507214503509741, 0.608861018309448, 0.5739278235624483, 0.5638448323359279]"
6,21,0.5625857214398453,0.5702206753501335,0.030539815641153,0.510309222644496,0.6252492853002741,15,64,"{""colsample_bytree"": 0.8231762060053037, ""gamma"": 0.2614007674469029, ""learning_rate"": 0.03589061329265111, ""max_depth"": 6, ""min_child_weight"": 4.364378576251283, ""reg_alpha"": 7.048806635602917e-08, ""reg_lambda"": 0.5388371458221382, ""subsample"": 0.7393375325321859}","[{""cv_seed"": 242, ""prescreen_score"": 0.6300372822477445, ""run"": 3, ""trial"": 137, ""tuning_values"": [0.576518159169056, 0.8732263784474938]}]","[0.510309222644496, 0.6012159440102464, 0.5973215839838356, 0.5525945582528057, 0.5337732233083464, 0.5854769828988048, 0.5551266427278128, 0.5783078713144273, 0.5313440199656738, 0.6252492853002741, 0.5920760798535952, 0.5620495434975837, 0.6048486411388281, 0.5694230906115049, 0.5541934407437682]"
7,3,0.5623248861774733,0.5709348744297497,0.03443995300910528,0.5090853467150277,0.625924143737518,15,37,"{""colsample_bytree"": 0.8407277977085943, ""gamma"": 0.314768810455023, ""learning_rate"": 0.09574949731544728, ""max_depth"": 4, ""min_child_weight"": 11.43430053604261, ""reg_alpha"": 0.014417366834054013, ""reg_lambda"": 13.596849581860123, ""subsample"": 0.8244626265437955}","[{""cv_seed"": 42, ""prescreen_score"": 0.6179230316443386, ""run"": 1, ""trial"": 75, ""tuning_values"": [0.5654565921699792, 0.8562735531916339]}]","[0.5090853467150277, 0.6117314140133274, 0.6127675429794636, 0.5520837111142772, 0.5416149460278002, 0.5897049457278078, 0.5436500123948995, 0.5722790937440075, 0.5397913463582428, 0.625924143737518, 0.5982994659777844, 0.5328535339900714, 0.6085397322727061, 0.5786715888669639, 0.5470262925263495]"
8,24,0.5622433377795203,0.570207244708201,0.03185562771472294,0.5128129974484593,0.6269191600051532,15,38,"{""colsample_bytree"": 0.8828414250570772, ""gamma"": 0.053218045777763186, ""learning_rate"": 0.0803355328680376, ""max_depth"": 5, ""min_child_weight"": 1.7633402220897303, ""reg_alpha"": 2.6295643349407948e-08, ""reg_lambda"": 0.8139629112652758, ""subsample"": 0.8673276467603112}","[{""cv_seed"": 242, ""prescreen_score"": 0.6294101508619143, ""run"": 3, ""trial"": 81, ""tuning_values"": [0.5753699797744795, 0.8763319377705774]}]","[0.5128129974484593, 0.6155505901927877, 0.595908379087187, 0.545259449158558, 0.5352784804654455, 0.5809018603341892, 0.5608486372024308, 0.5696593589221468, 0.5331198589342608, 0.6269191600051532, 0.585694625402939, 0.5424126962682053, 0.6095380019946769, 0.5723066304073421, 0.5668979447992339]"
9,13,0.5622402930701772,0.5698242648684353,0.030335887193032325,0.5151706738089543,0.6304934933699222,15,20,"{""colsample_bytree"": 0.915242728337366, ""gamma"": 0.18042551393103023, ""learning_rate"": 0.112170364913025, ""max_depth"": 6, ""min_child_weight"": 1.0402396217178598, ""reg_alpha"": 0.06858047457553863, ""reg_lambda"": 2.0502569332887948, ""subsample"": 0.7681746054050302}","[{""cv_seed"": 142, ""prescreen_score"": 0.6294540681510119, ""run"": 2, ""trial"": 109, ""tuning_values"": [0.5749962499620709, 0.8792849491308328]}]","[0.5151706738089543, 0.6058401162304136, 0.5745692791388155, 0.5579097774025789, 0.5355065647441161, 0.5851206984668905, 0.5545129023560592, 0.5775390383811302, 0.5273151172363525, 0.6304934933699222, 0.5889200393436931, 0.5671353346139063, 0.6083815727098706, 0.5661517891321279, 0.5527975760916995]"
10,18,0.5621978528702469,0.5704690222234237,0.033084677412706744,0.5052610218003881,0.6331111338753538,15,35,"{""colsample_bytree"": 0.9368826274407724, ""gamma"": 0.027152795070874657, ""learning_rate"": 0.08431998874874165, ""max_depth"": 5, ""min_child_weight"": 1.187820934830544, ""reg_alpha"": 0.009886328615483745, ""reg_lambda"": 0.5349208580233894, ""subsample"": 0.9974669592291135}","[{""cv_seed"": 242, ""prescreen_score"": 0.6311443417615209, ""run"": 3, ""trial"": 121, ""tuning_values"": [0.5776113315049332, 0.874209520855822]}]","[0.5052610218003881, 0.6099938824857335, 0.6017587078116879, 0.5485789166613967, 0.5405058719970711, 0.5818250422998302, 0.5472209182786574, 0.5723831391563873, 0.5283400414601827, 0.6331111338753538, 0.5834839127898291, 0.5558551017219054, 0.6074169886270822, 0.5786651328416385, 0.5626355215442104]"
